システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,カラーセンサの値,白149,黒10
905,-27,21,13,5553
909,-24,20,12,5592
913,-26,16,7,5592
917,-28,23,13,5610
921,-23,17,7,5610
925,-23,20,11,5629
929,-22,23,14,5629
933,-22,19,10,5646
937,-17,20,11,5646
941,-17,23,14,5656
945,-10,26,17,5656
949,-10,24,15,5659
953,-10,27,19,5659
957,-10,24,17,5663
961,-9,23,15,5663
965,-11,25,18,5661
969,-10,23,16,5661
973,-12,19,12,5665
977,-19,16,9,5665
981,-17,14,7,5695
985,-18,11,4,5695
989,-13,18,11,5728
993,-11,16,11,5728
997,1,24,19,5741
1001,5,32,28,5741
1005,4,29,26,5690
1009,3,27,24,5690
1013,6,29,26,5663
1017,4,32,29,5663
1021,-1,26,24,5640
1025,-1,24,22,5640
1029,-4,20,18,5663
1033,-4,18,17,5663
1037,-8,18,18,5686
1041,-5,12,13,5686
1045,-3,18,20,5716
1049,2,21,23,5716
1053,7,24,27,5709
1057,6,22,26,5709
1061,7,23,27,5667
1065,12,33,37,5667
1069,11,31,36,5641
1073,9,29,33,5641
1077,10,29,34,5593
1081,8,33,38,5593
1085,4,22,27,5583
1089,2,20,25,5583
1093,-1,16,22,5633
1097,-2,20,27,5633
1101,0,20,27,5647
1105,2,20,28,5647
1109,-1,16,25,5650
1113,3,18,28,5650
1117,7,27,37,5649
1121,9,33,43,5649
1125,8,24,36,5563
1129,9,30,42,5563
1133,7,27,40,5554
1137,2,21,34,5554
1141,2,20,33,5554
1145,2,24,38,5554
1149,1,21,35,5581
1153,-4,15,29,5581
1157,0,22,36,5599
1161,-1,19,34,5599
1165,0,23,38,5581
1169,2,23,38,5581
1173,6,24,40,5561
1177,7,29,45,5561
1181,7,27,44,5527
1185,8,27,43,5527
1189,7,30,47,5503
1193,2,30,47,5503
1197,-2,23,40,5476
1201,-2,26,43,5476
1205,-1,23,40,5506
1209,-5,23,39,5506
1213,-5,19,36,5523
1217,-5,21,38,5523
1221,-4,24,41,5550
1225,1,30,48,5550
1229,1,27,44,5502
1233,5,33,50,5502
1237,4,35,52,5468
1241,3,30,47,5468
1245,-2,29,45,5419
1249,-4,29,45,5419
1253,-1,33,49,5448
1257,-3,32,48,5448
1261,-7,30,45,5420
1265,-8,23,38,5420
1269,-8,25,39,5467
1273,-11,23,36,5467
1277,-12,29,41,5501
1281,-9,25,36,5501
1285,-5,30,40,5503
1289,-7,29,38,5503
1293,-6,31,39,5494
1297,-3,39,49,5494
1301,-2,40,49,5468
1305,-2,34,42,5468
1309,-5,33,40,5423
1313,-6,32,39,5423
1317,-9,36,41,5467
1321,-10,34,39,5467
1325,-8,35,39,5468
1329,-14,29,32,5468
1333,-14,29,30,5487
1337,-14,27,29,5487
1341,-14,27,27,5559
1345,-14,26,25,5559
1349,-12,33,31,5581
1353,-12,32,29,5581
1357,-9,33,30,5563
1361,-9,39,34,5563
1365,-9,31,26,5555
1369,-9,31,25,5555
1373,-4,41,34,5593
1377,-3,42,33,5593
1381,-8,37,27,5552
1385,-7,37,27,5552
1389,-7,37,25,5575
1393,-11,39,26,5575
1397,-10,37,25,5589
1401,-11,35,22,5589
1405,-12,33,19,5581
1409,-16,28,14,5581
1413,-17,26,11,5634
1417,-16,26,10,5634
1421,-16,31,13,5684
1425,-14,25,7,5684
1429,-10,34,16,5675
1433,-5,31,13,5675
1437,-5,38,18,5675
1441,-4,38,18,5675
1445,1,42,22,5653
1449,2,37,17,5653
1453,2,44,24,5629
1457,-3,35,13,5629
1461,1,44,23,5631
1465,0,38,15,5631
1469,-4,35,12,5619
1473,0,39,16,5619
1477,-1,39,15,5657
1481,-3,38,14,5657
1485,0,35,11,5655
1489,-2,40,16,5655
1493,1,38,12,5664
1497,3,41,15,5664
1501,-3,37,11,5653
1505,2,37,9,5653
1509,7,49,21,5659
1513,8,45,17,5659
1517,10,49,21,5618
1521,13,54,26,5618
1525,13,56,28,5585
1529,13,52,24,5585
1533,8,50,22,5524
1537,3,47,19,5524
1541,8,47,18,5563
1545,4,46,17,5563
1549,-4,41,11,5579
1553,-5,40,11,5579
1557,8,52,23,5608
1561,3,43,14,5608
1565,2,50,21,5577
1569,12,47,19,5577
1573,19,57,29,5565
1577,16,58,30,5565
1581,10,55,28,5516
1585,12,58,32,5516
1589,12,60,34,5513
1593,6,55,31,5513
1597,1,51,27,5493
1601,0,44,22,5493
1605,0,45,22,5545
1609,0,45,24,5545
1613,-17,30,10,5579
1617,1,45,26,5579
1621,1,44,27,5618
1625,0,43,28,5618
1629,0,37,24,5570
1633,9,52,40,5570
1637,16,52,42,5562
1641,19,62,54,5562
1645,11,51,44,5451
1649,3,45,39,5451
1653,7,48,44,5470
1657,10,57,54,5470
1661,-5,37,35,5441
1665,-9,38,38,5441
1669,-8,36,38,5513
1673,-4,38,41,5513
1677,-9,32,36,5513
1681,-9,30,36,5513
1685,2,38,46,5552
1689,3,38,48,5552
1693,7,42,53,5485
1697,5,46,58,5485
1701,9,49,62,5415
1705,6,45,60,5415
1709,4,50,64,5332
1713,-2,36,52,5332
1717,-7,36,53,5343
1721,-8,33,51,5343
1725,-8,35,55,5418
1729,-17,24,45,5418
1733,-17,26,48,5437
1737,-11,28,50,5437
1741,-11,24,48,5465
1745,-9,29,54,5465
1749,3,43,68,5452
1753,3,34,61,5452
1757,-1,36,63,5421
1761,-8,33,60,5421
1765,-8,30,57,5420
1769,-6,28,57,5420
1773,-6,31,61,5464
1777,-11,29,60,5464
1781,-10,25,57,5465
1785,-11,27,60,5465
1789,-9,30,64,5480
1793,-8,27,61,5480
1797,-9,28,63,5482
1801,-7,26,60,5482
1805,-1,28,63,5491
1809,-6,28,63,5491
1813,-6,24,60,5497
1817,-6,27,63,5497
1821,-7,23,59,5503
1825,-7,26,63,5503
1829,-3,26,63,5517
1833,-3,29,67,5517
1837,-9,20,58,5514
1841,-9,23,61,5514
1845,-5,29,66,5551
1849,-2,34,71,5551
1853,-5,27,65,5513
1857,-10,25,63,5513
1861,-6,24,62,5533
1865,-1,26,64,5533
1869,-4,27,64,5534
1873,-6,22,60,5534
1877,-1,24,62,5532
1881,-1,28,66,5532
1885,-11,16,54,5538
1889,-5,19,56,5538
1893,-2,25,63,5580
1897,-2,28,66,5580
1901,-4,30,67,5551
1905,-4,26,64,5551
1909,-11,16,55,5536
1913,-11,13,52,5536
1917,-4,23,60,5590
1921,-4,20,58,5590
1925,8,34,73,5561
1929,9,39,78,5561
1933,2,32,69,5503
1937,3,30,68,5503
1941,3,28,66,5523
1945,-1,29,67,5523
1949,-5,23,60,5523
1953,-4,22,58,5523
1957,-12,12,49,5555
1961,-13,15,51,5555
1965,-15,16,51,5611
1969,-11,16,51,5611
1973,-13,12,46,5603
1977,-8,15,47,5603
1981,0,26,58,5615
1985,3,27,59,5615
1989,8,31,63,5523
1993,4,27,58,5523
1997,3,26,57,5503
2001,9,37,67,5503
2005,10,43,73,5485
2009,-7,26,55,5485
2013,-7,24,52,5475
2017,-3,26,52,5475
