システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,10,172,91
3401,-5,49,23,6775,157,,
3405,5,54,25,6775,159,,
3409,2,52,28,6763,158,,
3413,1,50,23,6763,159,,
3417,10,59,32,6735,160,,
3421,9,55,31,6735,159,,
3425,7,57,32,6719,159,,
3429,4,54,26,6719,160,,
3433,4,51,25,6706,160,,
3437,6,55,29,6706,160,,
3441,2,50,24,6739,160,,
3445,-2,52,22,6739,162,,
3449,-2,49,20,6746,163,,
3453,0,52,25,6746,163,,
3457,-1,48,21,6755,163,,
3461,-4,44,17,6755,163,,
3465,-2,52,27,6770,162,,
3469,0,52,22,6770,164,,
3473,-4,44,20,6769,162,,
3477,0,46,19,6769,162,,
3481,1,49,23,6789,162,,
3485,7,57,29,6789,163,,
3489,5,52,27,6783,162,,
3493,6,56,29,6783,162,,
3497,8,54,30,6759,161,,
3501,12,56,30,6759,161,,
3505,14,65,41,6745,160,,
3509,0,53,27,6745,160,,
3513,-1,49,25,6716,159,,
3517,5,55,32,6716,158,,
3521,1,48,27,6795,156,,
3525,-1,45,23,6795,155,,
3529,-3,46,24,6791,154,,
3533,3,52,31,6791,153,,
3537,1,53,31,6828,152,,
3541,-9,41,22,6828,150,,
3545,1,46,26,6791,149,,
3549,6,51,33,6791,147,,
3553,7,51,30,6828,147,,
3557,7,50,37,6828,143,,
3561,14,60,42,6809,142,,
3565,15,57,42,6809,140,,
3569,8,55,41,6753,138,,
3573,11,54,42,6753,135,,
3577,14,58,48,6738,132,,
3581,11,58,48,6738,129,,
3585,3,49,41,6702,126,,
3589,2,49,44,6702,122,,
3593,4,53,45,6727,120,,
3597,2,46,43,6727,116,,
3601,-10,38,37,6721,112,,
3605,-15,35,34,6721,108,,
3609,3,41,44,6781,103,,
3613,-2,39,44,6781,98,,
3617,-11,33,40,6779,93,,
3621,-5,42,49,6779,89,,
3625,6,43,54,6793,84,,
3629,3,39,48,6793,81,,
3633,0,38,49,6730,77,,
3637,12,48,59,6730,74,,
3641,14,51,63,6735,71,,
3645,4,45,58,6735,68,,
3649,2,39,55,6643,64,,
3653,6,48,64,6643,61,,
3657,1,43,62,6675,57,,
3661,-4,37,61,6675,51,,
3665,-8,37,56,6623,49,,
3669,-14,30,53,6623,45,,
3673,-14,28,53,6663,41,,
3677,-17,26,48,6663,39,,
3681,-15,25,50,6713,36,,
3685,-10,32,58,6713,33,,
3689,-13,28,55,6740,30,,
3693,-16,24,51,6740,28,,
3697,-8,29,56,6715,26,,
3701,-9,27,55,6715,24,,
3705,-11,21,48,6714,23,,
3709,1,30,57,6714,22,,
3713,2,36,63,6752,21,,
3717,-4,32,58,6752,21,,
3721,-4,30,60,6716,19,,
3725,-5,34,63,6716,18,,
3729,-3,35,62,6735,18,,
3733,-12,25,56,6735,16,,
3737,-19,15,45,6732,15,,
3741,-18,19,50,6732,14,,
3745,-17,18,48,6813,13,,
3749,-12,21,50,6813,13,,
3753,-14,19,47,6828,14,,
3757,-13,17,48,6828,13,,
3761,0,27,56,6827,13,,
3765,0,27,56,6827,13,,
3769,2,27,60,6804,11,,
3773,-1,27,56,6804,12,,
3777,9,29,59,6779,12,,
3781,13,39,68,6779,12,,
3785,5,34,63,6777,12,,
3789,6,33,65,6777,11,,
3793,2,27,57,6752,11,,
3797,2,29,57,6752,12,,
3801,1,27,58,6781,11,,
3805,-8,23,51,6781,12,,
3809,-3,21,50,6784,12,,
3813,-5,20,50,6784,12,,
3817,-5,21,50,6828,12,,
3821,-4,22,51,6828,12,,
3825,-8,18,50,6835,11,,
3829,9,28,56,6835,12,,
3833,13,33,60,6837,13,,
3837,16,35,66,6837,12,,
3841,13,37,65,6775,13,,
3845,15,35,64,6775,13,,
3849,20,41,70,6726,13,,
3853,8,30,59,6726,13,,
3857,8,36,66,6717,13,,
3861,7,33,60,6717,14,,
3865,1,30,57,6753,15,,
3869,0,30,57,6753,16,,
3873,-4,26,56,6779,15,,
3877,-4,23,50,6779,16,,
3881,-5,23,51,6786,16,,
3885,0,28,54,6786,17,,
3889,-1,29,53,6828,19,,
3893,-6,26,51,6828,20,,
3897,9,32,57,6805,21,,
3901,7,34,56,6805,23,,
3905,11,37,62,6790,23,,
3909,19,45,69,6790,24,,
3913,20,44,67,6760,25,,
3917,23,48,72,6760,25,,
3921,19,50,71,6691,27,,
3925,19,50,74,6691,27,,
3929,9,46,68,6647,28,,
3933,0,41,61,6647,30,,
3937,-5,33,52,6667,32,,
3941,-16,27,43,6667,35,,
3945,-17,28,47,6755,36,,
3949,-12,28,43,6755,39,,
3953,-15,23,34,6801,43,,
3957,-15,29,39,6801,47,,
3961,0,34,45,6847,50,,
3965,8,47,55,6847,54,,
3969,14,52,52,6818,61,,
3973,18,60,62,6818,66,,
3977,29,67,66,6726,71,,
3981,29,76,72,6726,77,,
3985,24,70,67,6582,81,,
3989,15,67,61,6582,86,,
3993,2,63,58,6537,90,,
3997,1,58,50,6537,94,,
4001,-2,61,52,6585,98,,
4005,-14,52,41,6585,102,,
4009,-22,45,32,6610,107,,
4013,-13,51,35,6610,112,,
4017,-23,43,25,6714,117,,
4021,-29,42,23,6714,122,,
4025,-19,47,27,6745,126,,
4029,-8,56,31,6745,132,,
4033,1,60,37,6761,136,,
4037,13,74,50,6761,140,,
4041,18,79,53,6687,144,,
4045,13,76,50,6687,147,,
4049,12,75,50,6644,149,,
4053,10,79,53,6644,151,,
4057,6,75,49,6673,153,,
4061,-4,66,41,6673,154,,
4065,-9,64,43,6662,153,,
4069,-13,61,36,6662,154,,
4073,-31,44,20,6720,154,,
4077,-19,52,24,6720,156,,
4081,-23,47,18,6811,158,,
4085,-25,47,20,6811,159,,
4089,-20,47,22,6833,159,,
4093,-5,58,29,6833,161,,
4097,4,63,35,6844,162,,
4101,12,70,39,6844,164,,
4105,14,77,47,6762,165,,
4109,20,82,50,6762,167,,
4113,24,84,56,6716,167,,
4117,10,80,50,6716,168,,
4121,2,73,44,6686,168,,
4125,4,72,45,6686,167,,
4129,4,70,44,6717,166,,
4133,-12,63,36,6717,165,,
4137,-27,45,17,6715,165,,
4141,-21,52,24,6715,165,,
4145,-13,55,26,6820,166,,
4149,-16,52,22,6820,167,,
4153,-10,58,30,6823,167,,
4157,-5,56,27,6823,167,,
4161,8,67,34,6809,169,,
4165,15,75,46,6809,169,,
4169,11,73,44,6761,169,,
4173,14,71,41,6761,169,,
4177,20,82,51,6723,170,,
4181,19,76,47,6723,170,,
4185,9,75,46,6696,170,,
4189,4,71,42,6696,170,,
4193,3,74,46,6706,169,,
4197,-10,59,30,6706,169,,
4201,-12,60,33,6705,168,,
4205,-14,53,24,6705,168,,
4209,-19,48,19,6780,168,,
4213,-15,55,24,6780,169,,
4217,-16,52,21,6843,170,,
4221,-1,62,30,6843,171,,
4225,-1,63,29,6844,173,,
4229,5,65,34,6844,173,,
4233,21,77,46,6794,173,,
4237,21,85,50,6794,175,,
4241,21,81,47,6734,176,,
4245,20,84,54,6734,175,,
4249,28,90,52,6709,178,,
4253,22,88,58,6709,177,,
4257,5,78,44,6684,178,,
4261,6,81,50,6684,177,,
4265,3,73,41,6711,177,,
4269,-5,71,40,6711,176,,
4273,-8,66,37,6725,175,,
4277,-11,63,32,6725,175,,
4281,-10,61,32,6751,174,,
4285,-16,61,30,6751,174,,
4289,-24,54,21,6796,175,,
4293,-14,56,27,6796,174,,
4297,-8,60,29,6819,174,,
4301,4,68,35,6819,175,,
4305,12,73,43,6813,174,,
4309,11,80,45,6813,176,,
4313,6,75,43,6743,176,,
4317,20,85,52,6743,177,,
4321,30,91,62,6733,175,,
4325,12,81,48,6733,176,,
4329,10,80,48,6654,176,,
4333,13,86,56,6654,175,,
4337,10,83,52,6715,175,,
4341,-6,75,44,6715,175,,
4345,-6,72,43,6669,174,,
4349,-4,73,40,6669,175,,
4353,-16,66,36,6705,174,,
4357,-16,64,31,6705,175,,
4361,-15,66,35,6747,175,,
4365,-5,65,35,6747,174,,
4369,4,77,44,6751,175,,
4373,9,83,52,6751,175,,
4377,12,84,54,6724,174,,
4381,12,88,57,6724,174,,
4385,9,86,53,6670,175,,
4389,13,93,59,6670,176,,
4393,12,89,59,6666,175,,
4397,3,85,56,6666,174,,
4401,-6,81,52,6637,173,,
4405,-10,73,46,6637,171,,
4409,-14,72,44,6661,170,,
4413,-16,66,40,6661,168,,
4417,-19,65,38,6716,167,,
4421,-10,67,42,6716,165,,
4425,-15,66,40,6751,164,,
4429,-21,60,39,6751,161,,
4433,-9,65,43,6752,159,,
4437,1,72,55,6752,155,,
4441,-1,70,50,6749,153,,
4445,3,73,57,6749,149,,
4449,4,73,55,6693,147,,
4453,2,72,59,6693,143,,
4457,-3,72,58,6667,140,,
4461,-5,67,53,6667,138,,
4465,-7,67,55,6653,135,,
4469,-12,64,53,6653,132,,
4473,-18,61,49,6660,130,,
4477,-22,56,48,6660,127,,
4481,-19,52,46,6700,123,,
4485,-24,48,44,6700,119,,
4489,-20,50,47,6745,115,,
4493,-13,54,54,6745,110,,
4497,-8,59,57,6769,107,,
4501,-7,53,57,6769,102,,
4505,-3,55,56,6695,99,,
4509,-11,54,59,6695,95,,
4513,1,62,70,6700,90,,
4517,2,58,68,6700,85,,
4521,-8,53,63,6668,81,,
4525,-14,47,62,6668,75,,
4529,-21,43,56,6680,71,,
4533,-10,49,66,6680,66,,
4537,-19,41,60,6742,61,,
4541,-34,27,42,6742,59,,
4545,-26,35,54,6725,55,,
4549,-22,32,51,6725,52,,
4553,-21,29,46,6790,51,,
4557,-23,32,52,6790,48,,
4561,-16,36,56,6835,46,,
4565,-1,42,63,6835,44,,
4569,-4,42,63,6805,42,,
4573,-6,41,64,6805,40,,
4577,-3,40,63,6748,38,,
4581,2,43,71,6748,34,,
4585,-2,40,63,6753,33,,
4589,-8,41,66,6753,31,,
4593,-6,37,64,6770,29,,
4597,-9,37,62,6770,28,,
4601,-22,23,50,6777,26,,
4605,-22,24,50,6777,25,,
4609,-16,23,51,6829,23,,
4613,-15,27,51,6829,24,,
4617,-18,20,47,6857,23,,
4621,-10,26,55,6857,21,,
4625,4,35,61,6872,21,,
4629,1,36,62,6872,21,,
4633,-3,29,59,6818,19,,
4637,8,41,68,6818,19,,
4641,14,44,71,6818,19,,
4645,3,35,62,6818,19,,
4649,-5,27,56,6751,18,,
4653,12,43,70,6751,18,,
4657,8,43,70,6825,18,,
4661,-14,22,47,6825,19,,
4665,-7,28,57,6754,18,,
4669,-2,30,57,6754,18,,
4673,-12,21,48,6830,18,,
4677,-7,23,50,6830,18,,
4681,0,32,57,6855,19,,
4685,-3,33,58,6855,20,,
4689,7,32,60,6844,19,,
4693,10,40,65,6844,20,,
4697,14,38,62,6822,21,,
4701,10,38,66,6822,20,,
4705,15,42,69,6790,20,,
4709,17,46,68,6790,22,,
4713,5,36,62,6750,22,,
4717,2,33,59,6750,22,,
4721,0,36,62,6752,22,,
4725,-1,31,53,6752,24,,
4729,-3,33,56,6761,25,,
4733,-10,22,45,6761,26,,
4737,-5,29,52,6806,27,,
4741,-10,25,47,6806,28,,
4745,-16,19,41,6834,29,,
4749,-6,26,45,6834,31,,
4753,0,30,49,6866,33,,
4757,0,31,47,6866,36,,
4761,-4,27,46,6852,37,,
4765,7,37,50,6852,41,,
4769,12,40,55,6847,43,,
4773,11,41,55,6847,45,,
4777,12,38,52,6806,47,,
4781,17,48,61,6806,49,,
4785,9,38,52,6791,50,,
4789,2,43,49,6791,55,,
4793,6,40,47,6781,58,,
4797,8,47,54,6781,61,,
4801,5,42,45,6790,65,,
4805,1,43,49,6790,67,,
4809,-5,35,38,6773,70,,
4813,0,40,40,6773,74,,
4817,1,40,42,6808,76,,
4821,1,42,40,6808,80,,
4825,1,39,35,6799,84,,
4829,0,43,42,6799,86,,
4833,8,53,43,6818,92,,
4837,5,47,36,6818,97,,
4841,10,53,41,6755,102,,
4845,12,55,44,6755,106,,
4849,5,52,39,6746,110,,
4853,8,55,42,6746,113,,
4857,-1,49,37,6738,115,,
4861,-7,41,26,6738,118,,
4865,-6,49,31,6740,122,,
4869,-13,43,25,6740,125,,
4873,-12,43,24,6772,128,,
4877,-13,37,18,6772,131,,
4881,-6,44,21,6799,135,,
4885,-3,44,27,6799,135,,
4889,0,48,28,6818,137,,
4893,6,53,32,6818,139,,
4897,10,58,36,6789,141,,
4901,14,62,40,6789,143,,
4905,13,62,42,6734,143,,
4909,8,61,38,6734,145,,
4913,12,63,43,6683,145,,
4917,7,58,34,6683,147,,
4921,0,52,31,6668,147,,
4925,0,53,32,6668,147,,
4929,-4,52,27,6718,149,,
4933,-13,38,19,6718,148,,
4937,-19,36,13,6745,149,,
4941,-16,38,14,6745,150,,
4945,-14,38,16,6827,150,,
4949,-12,36,12,6827,151,,
4953,-11,37,14,6829,151,,
4957,-1,46,21,6829,152,,
4961,8,53,28,6848,153,,
4965,14,58,35,6848,153,,
4969,7,52,27,6794,154,,
4973,13,57,34,6794,154,,
4977,22,67,41,6761,155,,
4981,15,63,39,6761,155,,
4985,9,56,32,6705,155,,
4989,8,53,29,6705,155,,
4993,5,52,30,6734,154,,
4997,-3,49,24,6734,155,,
5001,-7,42,18,6770,155,,
5005,-12,39,15,6770,155,,
5009,-11,42,15,6825,157,,
5013,-10,39,12,6825,158,,
5017,-12,39,11,6835,159,,
5021,-4,40,14,6835,159,,
5025,5,49,22,6861,160,,
5029,4,51,23,6861,161,,
5033,7,49,23,6826,161,,
5037,14,52,26,6826,161,,
5041,21,60,36,6818,160,,
5045,17,57,31,6818,160,,
5049,16,55,29,6756,160,,
5053,12,53,23,6756,162,,
5057,9,58,31,6770,162,,
5061,12,58,30,6770,163,,
5065,0,52,24,6760,164,,
5069,-5,46,17,6760,165,,
5073,11,54,26,6763,165,,
5077,4,48,19,6763,166,,
5081,-9,43,11,6778,168,,
5085,-3,47,20,6778,167,,
5089,13,50,24,6826,166,,
5093,7,55,27,6826,166,,
5097,-2,48,18,6789,167,,
5101,14,56,27,6789,167,,
5105,14,59,31,6800,167,,
5109,13,58,28,6800,168,,
5113,16,58,30,6752,168,,
5117,18,65,34,6752,169,,
5121,14,60,31,6733,169,,
5125,14,61,28,6733,171,,
5129,5,57,25,6723,172,,
5133,-1,51,19,6723,173,,
5137,-2,53,20,6734,174,,
5141,5,57,20,6734,177,,
5145,6,60,24,6767,179,,
5149,-10,45,12,6767,179,,
5153,0,53,22,6748,178,,
5157,1,56,25,6748,177,,
5161,-3,50,19,6781,176,,
5165,1,52,26,6781,173,,
5169,5,52,27,6778,170,,
5173,6,54,32,6778,166,,
5177,-1,45,26,6769,161,,
5181,4,43,30,6769,154,,
5185,6,47,35,6782,148,,
5189,5,42,34,6782,141,,
5193,8,46,41,6768,134,,
5197,7,43,39,6768,128,,
5201,1,38,32,6751,124,,
5205,1,40,36,6751,120,,
5209,2,36,36,6791,114,,
5213,10,48,51,6791,108,,
5217,-2,35,41,6780,102,,
5221,-1,32,40,6780,96,,
5225,3,31,42,6761,89,,
5229,0,29,45,6761,81,,
5233,1,33,48,6779,75,,
5237,-2,28,42,6779,71,,
5241,2,26,46,6743,65,,
5245,4,29,52,6743,58,,
5249,-2,25,51,6769,51,,
5253,-11,16,41,6769,46,,
5257,-5,22,48,6731,41,,
5261,-3,23,53,6731,35,,
5265,-2,20,50,6760,30,,
5269,-6,19,50,6760,26,,
5273,-7,15,45,6739,23,,
5277,2,18,50,6739,20,,
5281,1,20,52,6761,17,,
5285,-8,12,43,6761,15,,
5289,-3,19,48,6724,15,,
5293,5,20,53,6724,13,,
5297,6,20,51,6752,12,,
5301,-2,18,48,6752,12,,
5305,11,24,57,6724,10,,
5309,13,29,62,6724,9,,
5313,4,24,51,6699,11,,
5317,4,23,57,6699,9,,
5321,2,22,51,6687,10,,
5325,0,22,54,6687,9,,
5329,2,21,52,6705,9,,
5333,-3,20,51,6705,9,,
5337,-5,16,47,6686,9,,
5341,-3,15,46,6686,9,,
5345,0,15,46,6725,9,,
5349,1,19,50,6725,9,,
5353,4,19,50,6744,9,,
5357,10,22,53,6744,9,,
5361,6,18,49,6742,9,,
5365,13,32,63,6742,9,,
5369,18,28,61,6740,8,,
5373,13,31,60,6740,9,,
5377,6,24,55,6687,9,,
5381,12,31,62,6687,9,,
5385,11,29,60,6704,9,,
5389,3,22,52,6704,9,,
5393,5,26,57,6691,9,,
5397,13,30,61,6691,9,,
5401,10,26,58,6722,8,,
5405,-4,20,51,6722,8,,
5409,7,27,55,6706,10,,
5413,10,27,57,6706,10,,
5417,3,23,57,6723,8,,
5421,6,25,56,6723,8,,
5425,9,31,60,6728,9,,
5429,10,29,60,6728,9,,
5433,5,28,61,6713,8,,
5437,9,30,60,6713,9,,
5441,7,30,63,6705,8,,
5445,4,27,58,6705,8,,
5449,3,29,60,6714,8,,
5453,-2,28,57,6714,9,,
5457,-5,22,52,6733,9,,
5461,3,29,60,6733,9,,
5465,3,30,63,6751,8,,
5469,4,29,59,6751,9,,
5473,5,26,59,6704,8,,
5477,5,31,60,6704,9,,
5481,5,32,63,6733,9,,
5485,2,26,59,6733,8,,
5489,-1,28,57,6697,9,,
5493,-5,21,52,6697,9,,
5497,-7,25,58,6730,8,,
5501,-6,18,49,6730,8,,
5505,-16,16,49,6747,7,,
5509,-16,19,47,6747,9,,
5513,-13,15,46,6790,9,,
5517,-16,14,44,6790,9,,
5521,-10,14,45,6815,9,,
5525,2,25,54,6815,10,,
5529,3,22,53,6827,10,,
5533,3,24,56,6827,9,,
5537,14,32,59,6790,11,,
5541,20,38,68,6790,11,,
5545,12,32,61,6743,12,,
5549,6,31,59,6743,13,,
5553,7,34,63,6724,13,,
5557,5,34,63,6724,13,,
5561,-8,22,49,6715,14,,
5565,-10,22,49,6715,15,,
5569,-9,24,49,6764,17,,
5573,-12,17,43,6764,18,,
5577,-16,11,37,6789,19,,
5581,-25,8,29,6789,22,,
5585,-16,19,41,6835,24,,
5589,-8,17,36,6835,27,,
5593,-7,19,39,6846,29,,
5597,4,30,47,6846,32,,
5601,14,34,52,6851,34,,
5605,15,39,55,6851,37,,
5609,20,42,57,6788,40,,
5613,22,43,57,6788,43,,
5617,21,48,60,6721,46,,
5621,9,38,49,6721,49,,
5625,6,37,43,6685,54,,
5629,6,46,50,6685,59,,
5633,-2,39,38,6744,66,,
5637,-5,33,33,6744,71,,
5641,-3,42,41,6734,75,,
5645,-5,38,34,6734,80,,
5649,-15,28,23,6751,85,,
5653,-11,34,25,6751,91,,
5657,-7,40,27,6809,98,,
5661,-6,39,23,6809,105,,
5665,-4,41,27,6790,110,,
5669,3,47,25,6790,118,,
5673,8,48,28,6779,123,,
5677,13,55,34,6779,128,,
5681,14,60,37,6753,133,,
5685,10,56,32,6753,137,,
5689,10,61,34,6685,142,,
5693,10,57,32,6685,145,,
5697,6,59,31,6662,149,,
5701,0,57,28,6662,153,,
5705,-3,51,23,6649,155,,
5709,-2,52,26,6649,156,,
5713,-4,53,25,6691,158,,
5717,-10,51,20,6691,161,,
5721,-8,47,19,6690,162,,
5725,-2,49,19,6690,164,,
5729,-2,51,20,6723,166,,
5733,-2,47,19,6723,166,,
5737,8,58,28,6723,167,,
5741,8,58,32,6723,166,,
5745,8,63,31,6686,168,,
5749,12,61,34,6686,167,,
5753,12,60,31,6666,167,,
5757,8,66,35,6666,168,,
5761,4,63,34,6677,168,,
5765,8,63,32,6677,169,,
5769,3,56,27,6679,169,,
5773,-2,61,28,6679,171,,
5777,-8,53,19,6717,173,,
5781,-11,49,20,6717,172,,
5785,-6,53,15,6738,176,,
5789,-3,51,15,6738,178,,
5793,-7,53,20,6750,178,,
5797,6,58,26,6750,178,,
5801,16,70,33,6759,180,,
5805,16,71,37,6759,180,,
5809,7,60,31,6704,178,,
5813,11,61,30,6704,177,,
5817,16,67,37,6729,176,,
5821,8,65,33,6729,176,,
5825,1,61,31,6703,175,,
5829,5,61,29,6703,175,,
5833,4,57,26,6715,175,,
5837,-3,56,22,6715,176,,
5841,-12,50,17,6742,177,,
5845,-1,59,25,6742,178,,
5849,-1,56,21,6776,179,,
5853,-3,56,21,6776,180,,
5857,-4,57,22,6751,181,,
5861,4,58,25,6751,181,,
5865,6,63,27,6752,182,,
5869,5,58,25,6752,181,,
5873,11,65,32,6731,181,,
5877,21,70,37,6731,181,,
5881,14,74,40,6714,181,,
5885,10,69,33,6714,182,,
5889,15,74,40,6686,182,,
5893,18,74,38,6686,183,,
5897,9,70,35,6687,183,,
5901,0,65,30,6687,183,,
5905,4,69,33,6704,184,,
5909,-2,66,29,6704,185,,
5913,-5,59,24,6708,185,,
5917,-8,52,19,6708,184,,
5921,-4,62,27,6748,184,,
5925,-4,62,27,6748,184,,
5929,-9,54,19,6752,184,,
5933,-9,55,20,6752,184,,
5937,1,57,24,6775,183,,
5941,5,66,34,6775,182,,
5945,7,64,32,6760,181,,
5949,18,74,41,6760,181,,
5953,9,65,33,6714,180,,
5957,-1,62,26,6714,181,,
5961,10,69,37,6721,180,,
5965,14,74,41,6721,180,,
5969,7,65,34,6722,179,,
5973,-1,67,34,6722,179,,
5977,3,64,33,6724,178,,
5981,3,66,34,6724,178,,
5985,-11,61,30,6715,177,,
5989,1,63,34,6715,175,,
5993,6,67,39,6724,173,,
5997,1,65,36,6724,172,,
6001,5,67,41,6694,170,,
6005,1,59,35,6694,167,,
6009,8,69,47,6685,164,,
6013,7,64,42,6685,161,,
6017,3,63,40,6674,159,,
6021,3,63,42,6674,157,,
6025,0,61,40,6676,155,,
6029,-4,55,41,6676,150,,
6033,-3,57,41,6678,147,,
6037,-2,61,48,6678,143,,
6041,-11,48,36,6695,139,,
6045,3,56,48,6695,134,,
6049,-1,53,46,6699,129,,
6053,-5,53,50,6699,123,,
6057,0,51,48,6675,118,,
6061,8,60,61,6675,112,,
6065,5,53,55,6666,107,,
6069,-2,50,58,6666,100,,
6073,-7,46,54,6614,94,,
6077,-2,52,63,6614,88,,
6081,-2,45,57,6636,82,,
6085,-4,45,62,6636,75,,
6089,-13,37,55,6601,69,,
6093,-8,44,62,6601,64,,
6097,-4,44,64,6628,59,,
6101,-21,30,50,6628,55,,
6105,-16,34,58,6600,50,,
6109,-8,37,62,6600,45,,
6113,-8,35,60,6668,41,,
6117,-11,36,61,6668,38,,
6121,-9,33,62,6654,33,,
6125,-5,40,67,6654,30,,
6129,-8,37,62,6663,29,,
6133,-14,34,61,6663,27,,
6137,-8,34,64,6677,24,,
6141,-16,26,55,6677,22,,
6145,-14,30,60,6683,20,,
6149,-11,30,59,6683,19,,
6153,-12,27,56,6713,18,,
6157,-17,25,56,6713,16,,
6161,-19,21,51,6718,15,,
6165,-13,23,53,6718,14,,
6169,-5,31,62,6753,13,,
6173,-9,27,57,6753,13,,
6177,1,37,68,6734,12,,
6181,5,39,68,6734,12,,
6185,4,36,68,6723,11,,
6189,4,36,66,6723,11,,
6193,2,39,69,6716,11,,
6197,-5,32,62,6716,11,,
6201,-6,29,59,6716,11,,
6205,-7,32,62,6716,11,,
6209,-11,29,63,6769,9,,
6213,-8,26,55,6769,10,,
6217,-9,22,55,6750,9,,
6221,-6,28,60,6750,8,,
6225,0,33,60,6785,10,,
6229,2,32,62,6785,10,,
6233,1,34,66,6761,9,,
6237,11,36,67,6761,9,,
6241,12,42,73,6742,9,,
6245,6,32,63,6742,9,,
6249,7,38,69,6715,9,,
6253,10,44,75,6715,9,,
6257,3,33,64,6726,9,,
6261,0,35,67,6726,8,,
6265,-1,29,59,6742,9,,
6269,-4,31,61,6742,9,,
6273,-7,21,54,6773,8,,
6277,-6,27,58,6773,8,,
6281,-8,25,54,6798,9,,
6285,-5,24,57,6798,8,,
6289,-2,33,60,6806,10,,
6293,5,29,62,6806,9,,
6297,3,30,59,6783,10,,
6301,7,32,63,6783,10,,
6305,13,36,69,6779,9,,
6309,8,40,69,6779,10,,
6313,12,37,67,6732,10,,
6317,16,41,71,6732,10,,
6321,12,40,69,6705,11,,
6325,11,44,74,6705,11,,
6329,-1,31,59,6697,12,,
6333,3,38,67,6697,12,,
6337,2,36,65,6758,12,,
6341,-6,29,59,6758,12,,
6345,-10,25,55,6734,12,,
6349,-16,20,49,6734,12,,
6353,-6,27,53,6798,14,,
6357,-1,29,57,6798,14,,
6361,1,30,59,6813,14,,
6365,14,40,67,6813,15,,
6369,19,45,72,6769,16,,
6373,21,47,75,6769,16,,
6377,23,50,79,6686,16,,
6381,24,58,84,6686,17,,
6385,13,46,72,6659,18,,
6389,13,52,77,6659,19,,
6393,8,43,68,6670,20,,
6397,4,46,69,6670,22,,
6401,1,44,64,6685,25,,
6405,-3,40,61,6685,27,,
6409,0,42,62,6686,29,,
6413,-5,39,56,6686,32,,
6417,-3,39,57,6704,34,,
6421,1,47,63,6704,37,,
6425,4,49,63,6723,40,,
6429,7,52,63,6723,44,,
6433,6,52,62,6666,48,,
6437,14,58,67,6666,52,,
6441,13,58,67,6645,55,,
6445,6,58,66,6645,58,,
6449,10,61,68,6582,61,,
6453,6,63,69,6582,64,,
6457,0,65,65,6563,69,,
6461,1,62,64,6563,72,,
6465,-5,56,57,6542,75,,
6469,-10,58,54,6542,80,,
6473,-12,58,53,6595,85,,
6477,-8,58,52,6595,89,,
6481,-12,60,49,6600,95,,
6485,-16,52,43,6600,99,,
6489,-12,56,49,6620,101,,
6493,-8,59,45,6620,106,,
6497,-8,61,47,6657,110,,
6501,-7,58,45,6657,113,,
6505,-8,66,50,6643,117,,
6509,-8,64,45,6643,122,,
6513,-2,66,46,6663,126,,
6517,-8,70,47,6663,131,,
6521,-9,63,45,6667,133,,
6525,-4,72,46,6667,138,,
6529,-7,64,43,6692,140,,
6533,-15,62,36,6692,144,,
6537,-21,59,33,6713,147,,
6541,-15,66,35,6713,152,,
6545,-16,57,33,6751,153,,
6549,-18,60,29,6751,157,,
6553,-18,58,33,6750,157,,
6557,-13,59,30,6750,159,,
6561,-15,59,30,6761,161,,
6565,-9,64,36,6761,162,,
6569,0,67,39,6767,163,,
6573,0,71,40,6767,165,,
6577,-3,68,42,6741,164,,
6581,-1,69,38,6741,166,,
6585,-1,72,40,6738,168,,
6589,2,74,45,6738,168,,
6593,-2,74,43,6741,169,,
6597,-16,61,28,6741,171,,
6601,4,68,42,6732,169,,
6605,5,75,42,6732,171,,
6609,-16,60,32,6754,170,,
6613,-11,58,32,6754,168,,
6617,6,73,44,6788,168,,
6621,1,65,40,6788,166,,
6625,-12,58,34,6750,164,,
6629,-10,57,31,6750,163,,
6633,2,65,44,6797,160,,
6637,-1,59,31,6797,161,,
6641,0,63,37,6767,161,,
6645,2,62,36,6767,161,,
6649,2,69,37,6777,164,,
6653,3,71,41,6777,165,,
6657,-2,65,35,6752,166,,
6661,-3,62,32,6752,167,,
6665,-7,57,28,6751,167,,
6669,-2,63,35,6751,167,,
6673,-4,58,32,6799,166,,
6677,0,66,36,6799,167,,
6681,-1,61,35,6785,166,,
6685,-7,56,28,6785,166,,
6689,-1,58,32,6752,165,,
6693,6,66,41,6752,164,,
6697,8,67,40,6782,164,,
6701,-2,58,33,6782,163,,
6705,6,67,42,6742,162,,
6709,0,59,30,6742,163,,
6713,7,67,40,6741,163,,
6717,9,68,39,6741,164,,
6721,-1,61,32,6734,165,,
6725,2,68,36,6734,167,,
6729,3,65,37,6755,167,,
6733,5,66,36,6755,168,,
6737,3,64,35,6734,168,,
6741,7,69,42,6734,167,,
6745,8,65,37,6733,167,,
6749,5,68,39,6733,167,,
6753,10,75,46,6731,167,,
6757,2,62,36,6731,166,,
6761,3,68,40,6711,166,,
6765,2,65,39,6711,165,,
6769,-2,62,33,6732,166,,
6773,1,67,39,6732,166,,
6777,0,61,31,6750,167,,
6781,4,67,39,6750,167,,
6785,6,67,40,6759,166,,
6789,7,68,38,6759,167,,
