システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,10,172,91
805,-9,39,36,6748,95,,
809,-3,42,41,6775,95,,
813,-3,39,35,6775,96,,
817,-7,37,34,6754,97,,
821,-2,41,39,6754,97,,
825,4,49,49,6803,96,,
829,-2,43,37,6803,98,,
833,1,49,48,6718,97,,
837,7,51,45,6718,99,,
841,8,57,52,6708,100,,
845,5,54,50,6708,100,,
849,1,56,53,6644,100,,
853,-3,46,45,6644,99,,
857,-4,50,49,6610,98,,
861,-5,51,52,6610,96,,
865,-7,47,49,6661,94,,
869,-16,38,41,6661,92,,
873,-16,42,42,6653,92,,
877,-13,46,46,6653,92,,
881,-15,48,43,6719,94,,
885,-12,40,39,6719,94,,
889,-8,47,44,6688,95,,
893,-9,48,46,6688,95,,
897,-17,44,42,6711,95,,
901,-8,46,45,6711,95,,
905,-9,49,45,6717,96,,
909,-15,47,41,6717,98,,
913,-16,45,43,6706,98,,
917,-12,50,45,6706,99,,
921,-19,46,39,6732,101,,
925,-19,44,41,6732,101,,
929,-13,49,44,6738,102,,
933,-16,45,44,6738,100,,
937,-22,41,39,6739,99,,
941,-17,44,41,6739,99,,
945,-11,47,46,6784,98,,
949,-12,45,46,6784,96,,
953,-16,43,43,6761,95,,
957,-11,46,46,6761,94,,
961,-6,48,51,6775,92,,
965,-6,53,55,6775,91,,
969,-30,35,37,6741,90,,
973,-23,38,40,6741,89,,
977,-9,45,49,6798,87,,
981,-18,39,41,6798,87,,
985,-30,29,32,6792,86,,
989,-17,40,46,6792,84,,
993,-12,42,46,6871,83,,
997,-17,37,42,6871,82,,
1001,-16,38,41,6821,82,,
1005,-15,38,40,6821,83,,
1009,-9,41,44,6851,83,,
1013,-8,40,45,6851,82,,
1017,-13,36,41,6839,81,,
1021,-7,43,51,6839,79,,
1025,0,47,54,6859,78,,
1029,-5,49,54,6859,78,,
1033,-11,42,49,6793,77,,
1037,-13,40,45,6793,77,,
1041,-14,39,42,6811,78,,
1045,-9,38,47,6811,76,,
1049,-15,35,39,6857,77,,
1053,-14,33,40,6857,76,,
1057,-16,35,42,6869,75,,
1061,-12,38,42,6869,76,,
1065,-9,36,45,6885,74,,
1069,-11,40,45,6885,75,,
1073,-16,29,37,6877,74,,
1077,-11,31,39,6877,73,,
1081,-8,33,40,6907,73,,
1085,-4,35,43,6907,72,,
1089,-4,36,43,6897,72,,
1093,-4,36,43,6897,72,,
1097,4,46,53,6889,72,,
1101,6,45,56,6889,70,,
1105,2,45,51,6836,71,,
1109,-4,39,47,6836,71,,
1113,2,44,50,6803,72,,
1117,5,45,52,6803,72,,
1121,1,42,49,6839,72,,
1125,-5,39,44,6839,73,,
1129,3,49,54,6823,74,,
1133,7,51,56,6823,75,,
1137,4,48,54,6795,75,,
1141,2,42,48,6795,75,,
1145,-2,39,45,6757,75,,
1149,6,47,49,6757,77,,
1153,4,44,50,6831,77,,
