システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
3961,6,-12,25,6412
3969,-2,-21,15,6422
3973,-2,-18,19,6422
3977,0,-18,18,6422
3981,-2,-22,15,6422
3989,6,-14,23,6422
3993,10,-12,24,6422
3997,10,-13,24,6422
4001,10,-8,28,6422
4009,12,-9,28,6422
4013,12,-5,32,6432
4017,9,-8,28,6432
4021,7,-11,26,6412
4029,-4,-17,20,6422
4033,-9,-23,14,6422
4037,-3,-11,26,6432
4041,-2,-13,23,6432
4049,0,-11,25,6442
4053,0,-14,23,6452
4057,5,-12,24,6452
4061,2,-11,26,6452
4069,9,-9,27,6462
4073,6,-7,29,6462
4077,0,-14,23,6462
4081,0,-11,26,6462
4089,-6,-16,21,6452
4093,-12,-23,13,6452
4097,-12,-21,15,6452
4101,-3,-17,19,6461
4109,-2,-15,21,6461
4113,5,-12,24,6461
4117,6,-8,28,6461
4121,6,-5,31,6461
4129,9,-7,30,6461
4133,9,-3,33,6452
4137,13,-2,34,6452
4141,12,-4,32,6442
4149,-3,-14,22,6442
4153,-2,-11,26,6442
4157,-3,-10,27,6462
4161,-13,-20,16,6462
4177,-9,-20,16,6461
4181,-2,-13,24,6479
4185,5,-5,31,6479
4189,0,-12,25,6479
4197,9,-4,32,6469
4201,0,-13,23,6469
4205,0,-15,21,6461
4209,0,-7,29,6461
4217,0,-12,24,6469
4221,-3,-12,25,6469
4225,-3,-15,22,6469
4229,-9,-22,15,6470
4237,-2,-17,20,6469
4241,-4,-20,16,6469
4245,-2,-16,21,6469
4249,5,-12,24,6469
4257,-6,-15,21,6469
4261,0,-14,23,6461
4265,6,-7,30,6461
4269,-2,-15,22,6469
4277,0,-13,24,6469
4281,3,-13,24,6469
4285,-4,-20,17,6479
4289,-9,-21,16,6479
4297,-2,-16,21,6479
4301,-2,-18,19,6469
4305,-10,-21,15,6469
4309,-9,-23,13,6479
4317,2,-14,23,6479
4321,0,-17,19,6479
4325,0,-19,17,6479
4329,13,-6,31,6479
4337,6,-13,23,6479
4341,7,-14,23,6462
4345,3,-13,24,6462
4349,-7,-22,15,6462
4357,-12,-30,7,6462
4361,-26,-37,0,6462
4365,-6,-30,6,6452
4369,-31,-50,-13,6452
