システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,しっぽ,超音波,カラー
1661,-1,0,0,8416,0,0,40
1666,-1,-19,18,8388,0,0,40
1671,-1,-19,17,8388,0,0,40
1676,-1,-19,17,8303,0,0,40
1681,0,-15,22,8275,0,0,40
1686,0,-19,17,8275,0,0,40
1691,-1,-20,17,8255,0,0,40
1696,-1,-20,17,8256,0,0,40
1701,0,-15,21,8236,0,0,40
1706,-1,-20,16,8228,0,0,40
1711,-1,-20,16,8228,0,0,40
1716,-1,-20,16,8199,0,0,39
1721,-1,-20,16,8179,0,43,39
1726,-6,-23,14,8179,0,43,39
1731,-7,-28,9,8160,0,43,39
1736,-10,-25,11,8161,0,43,39
1741,-10,-30,7,8143,0,43,39
1746,-10,-29,7,8133,0,43,39
1751,-10,-33,3,8133,0,43,39
1756,-11,-33,4,8160,0,43,39
1761,22,-13,24,8150,0,43,40
1766,46,0,36,8150,0,43,40
1771,44,1,39,8169,0,43,40
1776,47,7,44,8171,0,43,41
1781,47,6,43,8123,0,43,41
1786,29,3,40,8048,0,43,41
1791,5,-9,27,8048,0,43,41
1796,6,-5,31,8058,0,43,41
1801,-10,-16,21,8133,0,43,41
1806,-7,-12,25,8133,0,43,41
1811,-7,-10,27,8159,0,43,41
1816,-21,-16,20,8159,0,42,40
1821,-26,-19,17,8169,0,42,40
1826,-28,-24,12,8198,0,42,40
1831,-16,-13,24,8198,0,42,40
1836,-3,-5,31,8217,0,42,40
1841,0,-3,34,8188,0,42,40
1846,5,0,38,8188,0,42,40
1851,5,5,42,8159,0,42,40
1856,0,2,40,8161,0,42,40
1861,-6,-1,36,8133,0,42,40
1866,-11,0,36,8133,0,42,39
1871,-23,-5,31,8133,0,42,39
1876,-37,-16,21,8159,0,42,39
1881,-37,-15,21,8188,0,42,38
1886,-28,-13,23,8188,0,42,38
1891,-28,-12,25,8207,0,42,38
1896,-17,-4,32,8207,0,42,38
1901,-16,-2,34,8207,0,42,38
1906,-13,-3,33,8178,0,42,37
1911,-13,-2,35,8178,0,42,37
1916,-20,-8,28,8179,0,42,37
1921,-20,-7,30,8188,0,42,36
1926,-27,-10,26,8188,0,42,36
1931,-26,-9,27,8198,0,42,36
1936,-20,-5,31,8197,0,42,36
1941,-27,-9,27,8207,0,42,35
1946,-30,-19,18,8198,0,42,35
1951,-30,-18,19,8198,0,41,35
1956,-30,-17,20,8208,0,41,34
1961,-27,-15,22,8207,0,41,34
1966,-27,-18,19,8207,0,41,34
1971,-23,-18,18,8198,0,41,34
1976,-23,-21,16,8198,0,41,33
1981,-16,-15,22,8188,0,41,33
1986,-16,-13,24,8178,0,41,33
1991,-13,-17,19,8178,0,41,34
1996,-11,-13,23,8169,0,41,33
2001,-9,-14,23,8169,0,41,34
2006,-7,-14,23,8169,0,41,33
2011,-3,-16,21,8149,0,41,33
2016,-10,-20,17,8149,0,41,33
2021,-10,-16,20,8159,0,41,33
2026,-3,-17,20,8159,0,41,33
2031,-4,-21,16,8159,0,41,33
2036,-4,-20,17,8159,0,41,33
2041,-4,-19,18,8159,0,41,33
2046,-4,-22,14,8159,0,41,33
2051,-1,-19,17,8149,0,41,33
2056,0,-21,15,8149,0,41,33
2061,5,-20,16,8159,0,41,33
2066,0,-25,12,8159,0,41,33
2071,7,-18,18,8159,0,42,33
2076,12,-16,20,8149,0,42,33
2081,3,-23,14,8169,0,42,34
2086,2,-24,12,8169,0,42,34
2091,12,-19,17,8159,0,41,34
2096,9,-21,15,8159,0,41,34
2101,6,-23,13,8169,0,41,34
2106,10,-21,15,8159,0,41,35
2111,9,-22,15,8159,0,41,34
2116,10,-21,15,8149,0,41,35
2121,13,-19,17,8159,0,41,35
2126,16,-21,15,8159,0,41,35
2131,15,-17,20,8159,0,41,35
2136,15,-20,16,8159,0,41,35
2141,22,-15,22,8169,0,41,35
2146,20,-19,18,8169,0,41,36
2151,12,-22,15,8169,0,41,36
2156,10,-22,15,8169,0,41,36
2161,10,-17,19,8159,0,42,37
2166,6,-23,13,8159,0,42,37
2171,9,-25,12,8169,0,42,37
2176,5,-22,15,8169,0,42,37
2181,3,-27,10,8159,0,42,37
2186,5,-25,12,8159,0,42,37
2191,12,-20,17,8159,0,42,37
2196,22,-13,24,8149,0,42,37
2201,22,-15,21,8159,0,42,38
2206,19,-15,22,8159,0,42,38
2211,19,-13,23,8169,0,42,38
2216,20,-12,25,8168,0,42,38
2221,9,-20,16,8168,0,42,38
2226,6,-17,19,8159,0,42,39
2231,0,-24,12,8159,0,42,39
2236,0,-24,13,8168,0,42,39
2241,0,-24,13,8169,0,42,39
2246,0,-23,13,8169,0,42,39
2251,9,-18,19,8159,0,42,39
2256,7,-22,15,8159,0,42,39
2261,13,-17,19,8159,0,42,39
2266,15,-15,22,8159,0,12,39
2271,10,-16,20,8159,0,12,39
2276,15,-13,24,8168,0,12,40
2281,16,-15,22,8168,0,12,40
2286,10,-17,20,8168,0,14,40
2291,10,-16,21,8169,0,14,40
2296,9,-15,21,8168,0,14,41
2301,7,-16,21,8168,0,14,41
2306,5,-16,20,8168,0,14,41
2311,5,-12,24,8168,0,14,41
2316,10,-14,23,8168,0,14,41
2321,10,-13,24,8168,0,14,41
2326,10,-12,24,8168,0,14,41
2331,16,-8,28,8168,0,16,41
2336,12,-10,27,8168,0,16,41
2341,5,-13,23,8168,0,16,41
2346,5,-13,23,8169,0,16,41
2351,9,-7,29,8169,0,16,42
2356,3,-11,25,8168,0,16,42
2361,2,-12,24,8168,0,16,42
2366,2,-9,27,8168,0,16,42
2371,2,-6,30,8168,0,16,42
2376,5,-10,26,8168,0,16,42
2381,3,-8,29,8158,0,16,42
2386,3,-9,27,8158,0,16,42
2391,9,-6,30,8158,0,16,42
2396,7,-4,32,8168,0,16,42
2401,3,-8,29,8159,0,181,42
2406,0,-7,30,8159,0,181,42
2411,-3,-7,30,8159,0,181,42
2416,0,-7,29,8159,0,181,43
2421,0,-5,32,8159,0,181,43
2426,-7,-7,29,8158,0,181,43
2431,-9,-8,29,8158,0,164,43
2436,-4,-8,29,8158,0,164,43
2441,-3,-2,34,8158,0,164,43
2446,-1,-4,32,8158,0,164,42
2451,2,2,39,8149,0,164,43
2456,2,-1,36,8149,0,164,42
2461,-4,-3,33,8149,0,88,42
2466,-4,-3,34,8149,0,88,42
2471,-4,1,38,8149,0,88,42
2476,-7,0,36,8159,0,88,42
2481,-10,0,38,8159,0,86,42
2486,-17,-4,32,8159,0,86,42
2491,-17,-2,34,8149,0,86,42
2496,-21,-6,30,8149,0,86,41
2501,-26,-4,33,8159,0,86,41
2506,-26,-11,26,8158,0,86,40
