システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,しっぽ,超音波,カラー
3699,0,0,0,8504,0,0,37
3704,0,-18,18,8494,0,0,38
3709,-1,-19,18,8408,0,0,37
3714,-1,-19,18,8408,0,0,38
3719,0,-18,18,8373,0,0,37
3724,0,-18,18,8373,0,0,37
3729,0,-19,18,8343,0,0,38
3734,-1,-19,17,8334,0,0,37
3739,0,-19,18,8334,0,0,38
3744,0,-19,18,8314,0,0,37
3749,0,-19,18,8297,0,0,37
3754,-1,-19,17,8297,0,0,37
3759,-2,-20,17,8267,0,48,37
3764,-7,-27,10,8268,0,48,37
3769,-5,-21,15,8258,0,48,37
3774,-11,-25,11,8239,0,48,37
3779,-15,-32,4,8239,0,48,37
3784,-12,-30,6,8277,0,46,36
3789,-15,-32,4,8267,0,46,36
3794,-8,-32,4,8267,0,46,36
3799,-10,-32,4,8267,0,46,36
3804,-14,-38,0,8267,0,46,36
3809,2,-28,9,8257,0,46,37
3814,28,-15,22,8238,0,46,37
3819,41,-4,33,8238,0,46,38
3824,51,1,38,8276,0,46,38
3829,51,1,39,8266,0,45,38
3834,42,-2,34,8266,0,45,39
3839,29,-2,35,8257,0,45,39
3844,35,0,37,8257,0,45,39
3849,34,1,39,8237,0,45,40
3854,15,-3,34,8230,0,45,40
3859,11,-5,32,8230,0,45,40
3864,2,-10,27,8238,0,45,40
3869,2,-6,30,8257,0,45,40
3874,-2,-6,30,8257,0,45,40
3879,-2,-8,29,8247,0,45,40
3884,-14,-12,24,8247,0,45,39
3889,-15,-12,25,8247,0,45,40
3894,-8,-7,29,8276,0,45,40
3899,-8,-6,30,8276,0,45,40
3904,-7,-5,32,8266,0,45,39
3909,-7,0,36,8266,0,45,39
3914,-5,0,37,8266,0,45,39
3919,-8,-1,35,8237,0,45,39
3924,-12,0,36,8238,0,44,39
3929,-12,1,39,8230,0,44,39
3934,-14,-1,36,8237,0,44,38
3939,-15,-3,34,8237,0,44,38
3944,-15,0,36,8237,0,44,38
3949,-17,0,37,8237,0,44,38
3954,-18,-3,34,8237,0,44,38
3959,-19,1,39,8247,0,44,38
3964,-24,-4,32,8247,0,44,37
3969,-28,-6,31,8229,0,45,37
3974,-31,-7,29,8275,0,45,37
3979,-29,-6,30,8275,0,45,36
3984,-29,-10,27,8285,0,45,36
3989,-32,-7,29,8295,0,45,36
3994,-27,-9,28,8295,0,45,36
3999,-25,-7,29,8295,0,45,36
4004,-29,-9,27,8295,0,45,35
4009,-29,-9,27,8295,0,45,35
4014,-35,-17,20,8304,0,45,35
4019,-34,-16,20,8304,0,45,34
4024,-29,-13,23,8304,0,45,34
4029,-32,-15,22,8312,0,45,33
4034,-32,-19,18,8312,0,45,33
4039,-31,-18,19,8304,0,45,33
4044,-27,-15,21,8305,0,45,33
4049,-22,-16,21,8305,0,45,33
4054,-27,-21,15,8295,0,45,33
4059,-24,-18,18,8295,0,45,32
4064,-17,-20,16,8285,0,45,32
4069,-17,-18,19,8276,0,45,32
4074,-22,-26,10,8276,0,45,32
4079,-21,-23,14,8256,0,45,32
4084,-18,-26,10,8257,0,45,31
4089,-15,-25,11,8237,0,45,31
4094,-4,-19,17,8229,0,45,31
4099,-11,-23,14,8229,0,45,32
4104,2,-19,17,8247,0,45,32
4109,2,-22,15,8247,0,45,32
4114,7,-17,20,8247,0,45,32
4119,14,-11,26,8257,0,45,32
4124,12,-14,22,8256,0,45,32
4129,12,-16,21,8256,0,45,32
4134,11,-17,19,8266,0,45,32
4139,7,-21,16,8266,0,45,32
4144,5,-23,14,8266,0,45,32
4149,1,-22,14,8256,0,45,32
4154,0,-28,9,8256,0,45,32
4159,0,-29,8,8256,0,45,33
4164,0,-29,8,8257,0,45,32
4169,0,-29,7,8247,0,45,32
4174,2,-29,8,8247,0,45,32
4179,14,-25,11,8247,0,45,32
4184,14,-28,9,8247,0,45,32
4189,14,-26,11,8256,0,45,33
4194,19,-25,11,8256,0,45,33
4199,24,-20,16,8256,0,45,33
4204,24,-18,19,8256,0,45,34
4209,22,-21,16,8266,0,45,34
4214,21,-23,14,8266,0,45,34
4219,21,-24,13,8266,0,45,34
4224,21,-21,16,8266,0,45,35
4229,21,-22,14,8266,0,45,35
4234,15,-27,10,8266,0,45,35
4239,16,-23,13,8266,0,45,35
4244,18,-20,17,8266,0,45,35
4249,12,-25,12,8266,0,45,35
4254,14,-25,11,8266,0,45,35
4259,18,-24,12,8266,0,45,36
4264,18,-21,15,8266,0,45,36
4269,16,-23,13,8275,0,45,36
4274,15,-25,12,8275,0,45,36
4279,12,-27,9,8265,0,45,37
4284,19,-20,16,8266,0,45,36
4289,19,-21,15,8266,0,45,37
4294,11,-26,10,8275,0,45,37
4299,14,-22,15,8275,0,45,37
4304,18,-17,19,8266,0,45,37
4309,18,-22,14,8266,0,45,38
4314,16,-20,17,8266,0,45,38
4319,16,-21,16,8266,0,22,38
4324,16,-22,15,8266,0,22,38
4329,16,-22,14,8266,0,22,39
4334,16,-19,18,8266,0,22,39
4339,15,-17,20,8266,0,22,39
4344,16,-21,15,8266,0,22,39
4349,14,-15,21,8256,0,22,39
4354,11,-19,18,8256,0,22,39
4359,11,-20,16,8266,0,22,40
4364,15,-16,21,8266,0,32,39
4369,15,-13,23,8266,0,32,40
4374,15,-19,18,8256,0,32,40
4379,11,-18,19,8256,0,32,40
4384,15,-13,23,8266,0,26,40
4389,11,-17,19,8256,0,26,40
4394,8,-17,20,8256,0,26,41
4399,8,-15,21,8256,0,26,41
4404,2,-17,19,8256,0,26,41
4409,1,-17,20,8256,0,26,40
4414,1,-20,17,8256,0,26,41
4419,1,-19,18,8256,0,26,41
4424,0,-18,18,8256,0,26,41
4429,4,-15,21,8266,0,26,41
4434,4,-15,22,8266,0,26,41
4439,9,-15,22,8256,0,26,41
4444,9,-9,27,8256,0,26,41
4449,5,-15,22,8256,0,165,41
4454,5,-14,23,8256,0,165,41
4459,4,-14,23,8256,0,165,41
4464,4,-13,23,8256,0,165,41
4469,-1,-15,21,8256,0,165,41
4474,-1,-15,21,8256,0,82,41
4479,-1,-12,25,8266,0,82,41
4484,-1,-12,24,8266,0,82,41
4489,-8,-17,20,8256,0,82,41
4494,-5,-16,21,8256,0,82,41
4499,-2,-11,26,8256,0,82,41
4504,4,-8,28,8256,0,87,41
4509,2,-10,26,8256,0,87,41
4514,4,-9,27,8256,0,87,41
4519,4,-6,30,8256,0,87,41
4524,7,-1,35,8256,0,81,41
4529,-7,-15,22,8256,0,81,41
4534,-5,-11,26,8247,0,81,41
4539,-2,-7,30,8247,0,81,41
4544,-15,-16,20,8256,0,81,41
4549,-18,-16,20,8256,0,81,40
4554,-14,-17,20,8256,0,86,40
4559,-12,-14,23,8265,0,86,40
4564,-7,-13,23,8265,0,86,40
4569,4,-5,32,8255,0,86,40
4574,1,-8,28,8256,0,86,40
4579,1,-6,31,8256,0,86,40
4584,8,0,37,8246,0,86,40
4589,2,-1,35,8229,0,86,40
4594,-8,-10,27,8229,0,86,40
4599,-8,-8,28,8237,0,86,40
4604,-10,-9,28,8236,0,86,40
4609,-25,-17,20,8246,0,86,40
4614,-27,-22,15,8256,0,86,39
4619,-19,-13,23,8256,0,86,38
4624,-24,-17,20,8275,0,86,38
4629,-24,-17,19,8285,0,86,38
4634,-15,-16,20,8285,0,86,38
4639,-17,-13,23,8285,0,86,38
4644,-11,-10,26,8285,0,86,38
4649,-4,-6,30,8285,0,86,38
4654,-4,-6,31,8265,0,87,38
4659,-15,-12,25,8265,0,87,38
4664,-15,-12,24,8246,0,87,37
4669,-21,-13,24,8265,0,87,37
4674,-28,-18,18,8265,0,87,36
4679,-25,-18,19,8275,0,87,36
4684,-17,-15,22,8275,0,87,36
4689,-24,-23,13,8275,0,87,36
4694,-22,-19,18,8265,0,87,36
4699,-4,-9,27,8265,0,87,36
4704,-10,-16,20,8265,0,87,36
4709,-12,-17,20,8256,0,87,36
4714,-8,-14,22,8256,0,87,36
4719,-15,-14,22,8256,0,87,35
4724,-17,-20,16,8256,0,87,35
4729,-11,-17,20,8246,0,87,35
4734,-15,-23,14,8246,0,87,35
4739,-7,-17,19,8246,0,87,35
4744,-5,-19,17,8237,0,87,35
4749,-5,-14,23,8247,0,87,35
4754,-5,-17,19,8247,0,87,35
4759,-5,-20,17,8236,0,86,35
4764,-1,-16,21,8236,0,86,35
4769,-1,-14,22,8236,0,86,35
4774,-5,-19,17,8236,0,86,35
4779,-7,-23,14,8236,0,86,35
4784,-1,-21,15,8246,0,87,34
4789,-8,-23,14,8236,0,87,34
4794,-2,-18,19,8236,0,87,34
4799,4,-16,20,8237,0,87,34
4804,4,-18,19,8236,0,87,34
4809,8,-13,24,8236,0,87,35
4814,7,-19,18,8236,0,86,35
4819,1,-19,18,8236,0,86,35
4824,4,-18,18,8236,0,86,35
4829,2,-20,16,8236,0,86,35
4834,-7,-26,10,8236,0,86,34
4839,-2,-21,16,8236,0,86,34
4844,0,-21,15,8236,0,86,34
4849,0,-22,14,8236,0,86,34
4854,7,-19,18,8246,0,86,34
4859,7,-19,17,8246,0,86,35
4864,12,-16,20,8236,0,86,35
4869,5,-24,12,8246,0,86,35
4874,1,-26,11,8246,0,86,35
4879,2,-25,11,8236,0,86,35
4884,2,-25,12,8237,0,86,35
4889,1,-25,11,8229,0,86,35
4894,7,-22,15,8237,0,86,35
4899,8,-24,12,8237,0,86,36
4904,8,-19,17,8236,0,86,36
4909,11,-21,15,8236,0,86,36
4914,11,-20,16,8236,0,86,36
4919,15,-17,20,8236,0,86,36
4924,15,-16,21,8236,0,86,36
4929,12,-20,16,8236,0,86,36
4934,9,-21,16,8236,0,86,36
4939,5,-22,15,8236,0,86,36
4944,7,-20,16,8236,0,86,37
4949,9,-18,18,8229,0,86,37
4954,1,-22,14,8229,0,86,37
4959,1,-26,10,8236,0,86,37
4964,1,-25,11,8236,0,86,37
4969,9,-20,17,8228,0,86,37
4974,14,-20,17,8229,0,86,37
4979,14,-18,19,8229,0,86,37
4984,12,-18,19,8228,0,86,37
4989,12,-20,16,8236,0,86,38
4994,14,-17,19,8236,0,86,38
4999,12,-17,20,8236,0,86,38
5004,7,-18,18,8236,0,86,38
5009,8,-21,16,8236,0,86,38
5014,8,-16,21,8228,0,86,38
5019,7,-20,17,8228,0,86,38
5024,11,-16,20,8236,0,86,39
5029,11,-15,21,8236,0,86,39
5034,11,-14,22,8236,0,86,39
5039,12,-13,24,8228,0,86,39
5044,12,-12,25,8229,0,86,39
5049,12,-11,25,8229,0,87,39
5054,11,-11,25,8219,0,87,39
5059,5,-14,22,8219,0,87,39
5064,2,-16,21,8219,0,87,39
5069,8,-9,28,8228,0,87,39
5074,4,-12,25,8228,0,87,39
5079,0,-14,22,8229,0,87,39
5084,4,-13,24,8229,0,87,39
5089,8,-11,26,8219,0,87,40
