システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
2581,-5,29,28,5299
2585,-7,26,25,5299
2589,-12,26,25,5313
2593,0,29,28,5313
2597,-2,33,32,5324
2601,1,29,28,5324
2605,3,37,36,5297
2609,-2,26,25,5297
2613,9,36,36,5288
2617,6,41,40,5288
2621,1,36,35,5265
2625,2,36,35,5265
2629,0,28,27,5257
2633,-3,32,31,5257
2637,-3,24,24,5287
2641,-4,30,29,5287
2645,-4,29,28,5321
2649,-7,25,25,5321
2653,-2,29,29,5315
2657,-6,19,19,5315
2661,-4,27,27,5324
2665,2,32,32,5324
2669,0,30,30,5324
2673,2,26,26,5324
2677,3,34,35,5309
2681,2,27,28,5309
2685,4,37,37,5289
2689,3,30,30,5289
2693,4,38,38,5287
2697,-6,22,22,5287
2701,-6,22,23,5286
2705,-3,25,25,5286
2709,-9,19,20,5335
2713,-8,20,21,5335
2717,-4,23,24,5353
2721,-10,18,19,5353
2725,-3,24,25,5361
2729,-3,18,19,5361
2733,-3,19,20,5366
2737,6,29,30,5366
2741,10,28,29,5363
2745,9,30,31,5363
2749,10,33,35,5324
2753,3,23,24,5324
2757,3,25,27,5307
2761,7,31,32,5307
2765,2,28,29,5333
2769,-3,24,26,5333
2773,2,23,25,5333
2777,-2,28,29,5333
2781,0,24,25,5347
2785,4,23,25,5347
2789,2,30,31,5334
2793,3,25,27,5334
2797,12,30,32,5317
2801,10,32,34,5317
2805,-4,21,23,5305
2809,5,25,27,5305
2813,2,25,27,5326
2817,-1,24,26,5326
2821,-3,17,20,5329
2825,4,26,28,5329
2829,2,20,23,5350
2833,4,25,28,5350
2837,6,24,26,5347
2841,4,25,28,5347
2845,8,31,34,5333
2849,6,26,29,5333
2853,5,28,31,5303
2857,0,26,29,5303
2861,-6,16,19,5297
2865,-4,20,23,5297
2869,1,20,23,5344
2873,-6,16,19,5344
2877,-4,20,23,5355
2881,4,23,26,5355
2885,7,23,26,5353
2889,7,27,30,5353
2893,10,33,36,5334
2897,15,35,37,5334
2901,11,29,32,5276
2905,7,24,27,5276
2909,12,39,42,5289
2913,4,28,31,5289
2917,2,23,26,5258
2921,0,30,33,5258
2925,-2,23,27,5298
2929,-4,18,21,5298
2933,-4,20,23,5315
2937,-3,17,20,5315
2941,-5,18,21,5344
2945,2,27,30,5344
2949,6,27,30,5352
2953,7,25,28,5352
2957,9,31,35,5310
2961,15,40,44,5310
2965,13,36,40,5265
2969,12,33,37,5265
2973,11,37,40,5230
2977,2,26,29,5230
2981,0,27,31,5229
2985,2,26,29,5229
2989,-3,24,27,5266
2993,-6,17,21,5266
2997,-9,11,14,5297
3001,-4,25,28,5297
3005,-9,15,19,5349
3009,-2,18,21,5349
3013,3,32,35,5344
3017,8,33,36,5344
3021,15,37,40,5278
3025,18,44,48,5278
3029,15,40,44,5197
3033,11,41,44,5197
3037,8,41,45,5165
3041,4,34,37,5165
3045,4,37,40,5172
3049,3,32,35,5172
3053,-7,31,35,5201
3057,-12,20,24,5201
3061,-10,17,21,5231
3065,-13,22,26,5231
3069,-9,20,23,5304
3073,-5,19,23,5304
3077,-7,26,30,5295
3081,-1,26,30,5295
3085,1,25,28,5271
3089,4,37,40,5271
3093,2,31,34,5248
3097,4,35,39,5248
3101,3,30,34,5212
3105,5,41,45,5212
3109,3,35,38,5193
3113,-3,25,28,5193
3117,-2,28,32,5202
3121,-1,31,35,5202
3125,-10,24,28,5229
3129,-12,16,20,5229
3133,-10,26,29,5267
3137,-12,18,21,5267
3141,-8,22,26,5277
3145,-7,24,28,5277
3149,-10,22,26,5293
3153,0,26,30,5293
3157,4,26,30,5285
3161,5,30,34,5285
3165,5,33,37,5258
3169,6,37,40,5258
3173,8,35,39,5202
3177,0,37,40,5202
3181,-3,28,32,5190
3185,-1,32,35,5190
3189,-9,19,23,5213
3193,-8,21,25,5213
3197,-11,19,23,5276
3201,-11,20,24,5276
3205,-11,14,18,5291
3209,-10,23,27,5291
3213,-6,20,24,5325
3217,0,21,25,5325
3221,1,25,29,5306
3225,8,28,32,5306
3229,6,37,40,5270
3233,3,29,33,5270
3237,5,34,38,5213
3241,5,30,34,5213
3245,-1,21,25,5220
3249,-1,30,34,5220
3253,-5,21,25,5254
3257,-6,22,26,5254
3261,-7,16,20,5279
3265,-10,16,19,5279
3269,-10,17,21,5315
3273,-7,15,19,5315
3277,-7,17,21,5328
3281,-5,14,18,5328
3285,2,24,27,5333
3289,5,29,33,5333
3293,9,30,34,5289
3297,7,32,35,5289
3301,11,33,36,5229
3305,15,40,44,5229
3309,10,40,43,5182
3313,7,33,37,5182
3317,8,37,41,5147
3321,5,31,35,5147
3325,-5,18,22,5169
3329,-6,26,30,5169
3333,-7,19,23,5248
3337,-13,9,13,5248
3341,-12,12,16,5289
3345,-12,8,12,5289
3349,-8,8,12,5342
3353,-3,16,20,5342
3357,6,27,31,5354
3361,10,34,38,5354
3365,9,31,35,5270
3369,14,33,37,5270
3373,14,32,36,5224
3377,12,35,39,5224
3381,7,29,33,5191
3385,5,31,35,5191
3389,-3,26,30,5202
3393,-3,22,26,5202
3397,-1,20,24,5239
3401,-8,17,21,5239
3405,1,22,25,5271
3409,6,24,28,5271
3413,4,33,36,5280
3417,9,34,37,5280
3421,13,36,39,5201
3425,13,40,44,5201
3429,10,35,39,5153
3433,6,29,33,5153
3437,0,28,32,5155
3441,0,31,34,5155
3445,0,33,36,5189
3449,-5,24,27,5189
3453,-10,21,25,5174
3457,-6,20,24,5174
3461,-6,16,20,5238
3465,-5,26,30,5238
3469,2,28,32,5257
3473,0,23,27,5257
3477,5,32,35,5219
3481,7,31,34,5219
3485,6,28,31,5181
3489,2,35,38,5181
3493,5,33,37,5184
3497,5,36,40,5184
3501,0,34,38,5154
3505,-2,28,32,5154
3509,-2,30,34,5161
3513,-11,17,21,5161
3517,-11,19,22,5210
3521,-8,23,27,5210
3525,-8,18,22,5264
3529,-8,20,24,5264
3533,1,30,34,5266
3537,0,31,35,5266
3541,1,28,32,5211
3545,6,36,39,5211
3549,3,29,33,5191
3553,2,32,35,5191
3557,2,34,38,5191
3561,-1,27,31,5191
3565,-2,28,32,5187
3569,-6,27,30,5187
3573,-10,18,21,5210
3577,-10,25,29,5210
3581,-12,17,21,5250
3585,-10,20,24,5250
3589,-8,17,20,5282
3593,-9,12,15,5282
3597,-6,23,27,5310
3601,-3,21,25,5310
3605,-1,25,29,5279
3609,0,28,32,5279
3613,3,33,37,5257
3617,6,32,35,5257
3621,5,28,31,5220
3625,-2,24,28,5220
3629,-7,22,25,5229
3633,-1,23,26,5229
3637,-1,25,29,5268
3641,-15,14,18,5268
3645,-15,8,12,5277
3649,-11,14,17,5277
3653,-11,9,12,5341
3657,0,15,19,5341
3661,1,26,29,5342
3665,4,25,28,5342
3669,16,34,37,5296
3673,15,37,41,5296
3677,15,36,39,5237
3681,11,36,40,5237
3685,9,38,42,5197
3689,4,30,33,5197
3693,0,23,26,5196
3697,-2,24,27,5196
3701,-5,23,27,5265
3705,-8,16,19,5265
3709,-4,22,25,5276
3713,-3,19,22,5276
3717,-5,14,17,5300
3721,7,34,38,5300
3725,7,31,34,5297
3729,9,36,39,5297
3733,18,42,45,5221
3737,11,40,43,5221
3741,13,46,49,5153
3745,10,39,43,5153
3749,3,36,39,5107
3753,0,35,39,5107
3757,-2,28,31,5154
3761,-7,26,29,5154
3765,-10,17,21,5206
3769,-7,22,25,5206
3773,-12,19,22,5268
3777,-11,15,18,5268
3781,-5,28,31,5290
3785,-2,26,29,5290
3789,0,30,33,5256
3793,12,37,40,5256
3797,4,34,36,5210
3801,5,37,40,5210
3805,4,32,35,5182
3809,8,45,48,5182
3813,3,36,39,5154
3817,0,35,38,5154
3821,-4,33,35,5145
3825,-4,27,30,5145
3829,-8,25,27,5199
3833,-12,28,30,5199
3837,-8,25,27,5235
3841,-9,18,21,5235
3845,-8,27,30,5247
3849,-10,19,22,5247
3853,-8,22,25,5257
3857,-8,23,26,5257
3861,0,32,34,5281
3865,3,30,32,5281
3869,-2,34,36,5243
3873,4,34,36,5243
3877,6,38,40,5213
3881,3,37,39,5213
3885,-1,29,31,5172
3889,2,40,42,5172
3893,-4,34,36,5201
3897,-4,28,30,5201
3901,-8,26,27,5200
3905,-6,28,29,5200
3909,-13,28,29,5239
3913,-14,20,20,5239
3917,-14,13,14,5260
3921,-14,20,21,5260
3925,-12,21,22,5320
3929,-6,21,21,5320
3933,-5,23,24,5309
3937,-1,28,28,5309
3941,5,29,29,5293
3945,3,36,36,5293
3949,3,31,31,5237
3953,7,37,37,5237
3957,5,37,37,5229
3961,0,28,28,5229
3965,-5,25,25,5219
3969,-4,27,27,5219
3973,-7,25,25,5267
3977,-9,18,17,5267
3981,-14,20,19,5293
3985,-11,17,16,5293
3989,-9,13,12,5316
3993,0,30,28,5316
3997,0,25,24,5333
4001,3,24,22,5333
4005,9,39,37,5309
4009,12,37,36,5309
4013,4,28,26,5228
4017,0,33,31,5228
4021,3,31,29,5256
4025,1,25,23,5256
4029,-1,26,24,5264
4033,-5,24,22,5264
4037,3,27,25,5277
4041,3,30,28,5277
4045,-2,21,19,5273
4049,4,30,28,5273
4053,2,31,28,5289
4057,4,28,26,5289
4061,8,36,33,5250
4065,6,31,28,5250
4069,1,29,26,5238
