システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,カラーセンサの値,白178,黒12
773,-14,6,44,6840,10,,
777,-16,12,49,6880,10,,
781,-19,6,43,6888,8,,
785,-23,0,37,6898,9,,
789,-23,6,43,6893,10,,
793,-25,0,38,6941,9,,
797,-26,-3,33,6934,9,,
801,-26,-6,30,6964,9,,
805,-23,-2,34,6969,9,,
809,-15,4,41,6979,9,,
813,-3,9,47,6982,8,,
817,0,10,47,6982,8,,
821,-3,11,49,6979,9,,
825,5,15,53,6929,9,,
829,7,16,53,6927,8,,
833,5,14,52,6899,9,,
837,0,10,47,6903,9,,
841,-1,13,51,6903,9,,
845,1,18,55,6902,8,,
849,-5,11,49,6912,8,,
853,-12,4,42,6910,9,,
857,-4,13,50,6900,11,,
861,-4,11,48,6907,10,,
865,-10,5,42,6917,10,,
869,-15,0,37,6916,12,,
873,-16,-2,35,6944,13,,
877,-11,4,41,6933,13,,
881,-13,0,38,6973,14,,
885,-10,1,38,6977,16,,
889,-1,6,43,6987,16,,
893,3,13,50,6992,17,,
897,7,15,52,6972,19,,
901,9,16,53,6969,22,,
905,11,22,59,6911,23,,
909,5,17,54,6910,25,,
913,3,15,52,6860,28,,
917,3,14,51,6869,33,,
921,1,16,54,6889,37,,
925,-2,13,50,6888,41,,
929,-10,6,43,6888,46,,
933,-8,6,43,6883,51,,
937,-10,12,49,6921,55,,
941,-10,9,46,6923,62,,
945,-11,6,43,6915,68,,
949,-7,7,44,6911,75,,
953,-8,5,42,6929,81,,
957,-5,6,43,6932,87,,
961,-4,52,15,6932,95,,
965,-7,48,10,6930,101,,
969,-8,45,8,6872,108,,
973,-8,48,10,6877,114,,
977,-7,46,9,6857,121,,
981,-9,48,10,6856,125,,
985,-11,44,6,6828,130,,
989,-8,48,11,6831,135,,
993,-10,49,12,6821,139,,
997,-16,42,4,6822,142,,
