システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,,,,,,,
661,-7,39,35,5435,,,,,,,
665,-9,40,37,5505,,,,,,,
669,-29,12,10,5505,,,,,,,
673,-38,6,4,5451,,,,,,,
677,-44,1,0,5451,,,,,,,
681,-52,-5,-6,5645,,,,,,,
685,-58,-18,-18,5645,,,,,,,
689,-61,-21,-21,5725,,,,,,,
693,-68,-40,-40,5725,,,,,,,
697,-67,-39,-39,5666,,,,,,,
701,-60,-45,-45,5666,,,,,,,
705,-46,-31,-31,5552,,,,,,,
709,-35,-31,-31,5552,,,,,,,
713,-21,-19,-19,5534,,,,,,,
717,-11,-17,-16,5534,,,,,,,
721,-5,-15,-14,5581,,,,,,,
725,8,-6,-5,5581,,,,,,,
729,18,0,1,5609,,,,,,,
733,22,4,5,5609,,,,,,,
737,28,10,10,5729,,,,,,,
741,37,18,18,5729,,,,,,,
745,31,9,9,5702,,,,,,,
749,16,-1,-1,5702,,,,,,,
753,8,-7,-7,5701,,,,,,,
757,7,-8,-8,5701,,,,,,,
761,6,-9,-9,5748,,,,,,,
765,5,-10,-10,5748,,,,,,,
769,13,-3,-3,5732,,,,,,,
773,23,5,5,5732,,,,,,,
777,22,5,5,5742,,,,,,,
781,21,6,6,5742,,,,,,,
785,22,7,7,5765,,,,,,,
789,17,4,4,5765,,,,,,,
793,8,-2,-2,5762,,,,,,,
797,6,-5,-5,5762,,,,,,,
801,9,-2,-2,5776,,,,,,,
805,13,0,0,5776,,,,,,,
809,16,3,3,5781,,,,,,,
813,20,7,7,5781,,,,,,,
817,21,8,8,5783,,,,,,,
821,19,8,8,5783,,,,,,,
825,15,5,5,5769,,,,,,,
829,12,2,2,5769,,,,,,,
833,10,1,1,5762,,,,,,,
837,10,1,1,5762,,,,,,,
841,12,2,2,5774,,,,,,,
845,17,7,7,5774,,,,,,,
849,19,9,9,5779,,,,,,,
853,20,11,11,5779,,,,,,,
857,18,10,10,5771,,,,,,,
861,16,14,14,5771,,,,,,,
865,14,17,17,5759,,,,,,,
869,12,14,14,5759,,,,,,,
873,12,13,12,5739,,,,,,,
877,14,13,12,5739,,,,,,,
881,16,14,13,5741,,,,,,,
885,18,15,14,5741,,,,,,,
889,19,16,15,5740,,,,,,,
893,18,21,20,5740,,,,,,,
897,16,24,23,5724,,,,,,,
901,16,22,21,5724,,,,,,,
905,13,18,17,5684,,,,,,,
909,10,20,19,5684,,,,,,,
913,12,25,24,5668,,,,,,,
917,14,24,23,5668,,,,,,,
921,12,26,25,5634,,,,,,,
925,17,33,32,5634,,,,,,,
929,8,28,27,5587,,,,,,,
933,0,16,16,5587,,,,,,,
937,-5,19,19,5553,,,,,,,
941,-12,7,7,5553,,,,,,,
945,-17,8,8,5609,,,,,,,
949,-21,-2,-2,5609,,,,,,,
953,-29,-9,-9,5668,,,,,,,
957,-29,-10,-10,5668,,,,,,,
961,-28,-11,-11,5710,,,,,,,
965,-29,-13,-13,5710,,,,,,,
969,-22,-14,-13,5697,,,,,,,
973,-16,-14,-13,5697,,,,,,,
977,-6,-4,-3,5704,,,,,,,
981,5,1,2,5704,,,,,,,
985,13,6,7,5720,,,,,,,
989,23,14,15,5720,,,,,,,
993,29,24,25,5759,,,,,,,
997,29,24,25,5759,,,,,,,
