システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,-30,-20,-23,6953
5,-29,-22,-25,6904
9,-29,-24,-27,6904
13,-28,-26,-30,6679
17,-28,-28,-32,6679
21,-28,-35,-38,6585
25,-29,-36,-40,6585
29,-29,-43,-46,6472
33,-30,-44,-47,6472
37,-32,-47,-51,6319
41,-28,-55,-58,6319
45,-25,-57,-61,6178
49,-27,-57,-60,6178
53,-28,-69,-73,5987
57,-25,-75,-78,5987
61,-23,-72,-76,5750
65,-24,-81,-84,5750
69,-32,-95,-99,5678
73,-9,-87,-91,5678
77,16,-68,-72,5637
81,22,-63,-67,5637
85,44,-42,-46,5780
89,69,-17,-23,5780
93,94,2,-3,5936
97,99,13,6,5936
101,97,17,10,6194
105,104,23,16,6194
109,88,17,9,6227
113,79,14,7,6227
117,66,7,0,6228
121,48,1,-7,6228
125,46,4,-3,6301
129,47,9,0,6301
133,41,2,-5,6355
137,32,0,-8,6355
141,21,-1,-10,6383
145,18,-8,-17,6383
149,17,-3,-12,6429
153,6,-17,-25,6429
157,1,-21,-29,6464
161,0,-17,-25,6464
165,-7,-24,-32,6465
169,-11,-29,-36,6465
173,-7,-23,-30,6463
177,-5,-29,-36,6463
181,-1,-22,-29,6458
185,6,-23,-30,6458
189,11,-14,-21,6466
193,26,-8,-15,6466
197,36,5,-1,6508
201,40,5,-3,6508
205,39,11,3,6563
209,45,17,8,6563
213,52,23,14,6595
217,46,21,11,6595
221,45,27,17,6553
225,38,27,16,6553
229,25,16,5,6535
233,32,25,14,6535
237,39,34,22,6537
241,31,30,19,6537
245,37,38,27,6359
249,33,38,26,6359
253,28,37,25,6107
257,31,46,34,6107
261,25,43,31,5824
265,24,48,36,5824
269,23,53,41,5626
273,14,49,37,5626
277,8,48,36,5422
281,6,47,35,5422
285,11,54,42,5314
289,14,58,46,5314
293,0,53,40,5283
297,-15,44,30,5283
301,-23,33,20,5169
305,-28,30,17,5169
309,-42,11,-1,5321
313,-47,13,0,5321
317,-41,16,4,5519
321,-36,13,2,5519
325,-36,12,3,5563
329,-32,16,6,5563
333,-18,22,13,5600
337,2,41,33,5600
341,12,48,39,5578
345,18,57,49,5578
349,27,65,57,5445
353,29,73,64,5445
357,24,81,73,5307
361,22,75,68,5307
365,18,75,69,5221
369,11,77,71,5221
373,4,64,59,5198
377,-7,54,49,5198
381,-8,58,54,5191
385,-10,54,51,5191
389,-17,51,49,5219
393,-20,44,43,5219
397,-11,55,55,5215
401,-6,57,57,5215
405,3,64,65,5154
409,12,78,79,5154
413,14,85,87,5125
417,14,89,91,5125
421,19,98,100,5094
425,20,96,99,5094
429,18,100,100,5101
433,15,100,100,5101
437,3,87,91,5095
441,4,95,100,5095
445,3,87,92,5140
449,2,93,99,5140
453,-4,87,93,5133
457,-2,89,94,5133
461,5,95,100,5127
465,1,97,100,5127
469,8,96,100,5141
473,21,100,100,5141
477,21,100,100,5153
481,20,100,100,5153
485,28,100,100,5159
489,35,100,100,5159
493,37,100,100,5177
497,34,100,100,5177
501,37,100,100,5180
505,38,100,100,5180
509,35,100,100,5179
513,37,100,100,5179
