システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
21,5,-16,5,6584
25,5,-11,9,6584
29,5,-17,3,6554
33,6,-17,4,6555
37,5,-12,8,6517
41,6,-13,7,6518
45,5,-9,11,6470
49,3,-12,8,6471
53,4,-8,12,6441
57,5,-5,15,6440
61,3,-14,7,6470
65,-14,-23,-2,6468
69,-14,-27,-6,6486
73,-20,-29,-8,6486
77,-14,-29,-7,6476
81,-26,-40,-19,6477
85,-25,-43,-22,6439
89,-20,-42,-21,6442
93,-10,-37,-16,6344
97,1,-35,-14,6346
101,5,-31,-10,6298
105,4,-36,-15,6297
109,-1,-43,-22,6315
113,-2,-47,-26,6316
117,-1,-45,-23,6258
121,-3,-50,-29,6259
125,-4,-53,-32,6221
129,6,-48,-27,6225
133,29,-37,-16,6107
137,58,-12,8,6105
141,65,-8,12,6163
145,67,-1,19,6154
149,80,7,28,6380
153,82,19,40,6378
157,68,7,28,6436
161,68,11,32,6436
165,65,12,33,6436
169,51,9,30,6435
173,36,0,20,6435
177,30,0,20,6435
181,14,-14,6,6473
185,15,-16,4,6472
189,18,-10,10,6472
193,8,-15,5,6472
197,3,-22,-1,6502
201,1,-22,-1,6501
205,0,-26,-5,6511
209,-3,-22,-1,6511
213,10,-17,3,6511
217,18,-13,7,6511
221,19,-10,10,6531
225,29,0,21,6530
229,41,7,28,6568
233,51,18,39,6568
237,51,18,39,6548
241,53,29,50,6551
245,60,38,59,6493
249,54,37,58,6498
253,34,25,46,6332
257,11,14,34,6335
261,4,11,32,6287
265,2,7,28,6286
269,-10,-4,16,6266
273,-17,-8,12,6273
277,-27,-14,5,6059
281,-35,-21,0,6065
285,-35,-22,-2,5927
289,-31,-20,0,5927
293,-22,-19,1,5889
297,-13,-11,9,5889
301,-2,-6,14,5869
305,5,2,22,5869
309,9,3,23,5859
313,14,4,25,5859
317,18,12,33,5839
321,19,12,32,5840
325,14,12,32,5772
329,11,7,28,5773
333,12,11,32,5743
337,9,6,27,5743
341,9,9,30,5733
345,7,4,25,5733
349,2,3,24,5733
353,-1,-2,18,5733
357,-2,-1,19,5715
361,-1,-3,17,5713
365,1,0,21,5731
369,5,11,32,5731
373,9,10,31,5713
377,10,7,28,5715
381,11,11,32,5675
385,11,14,34,5675
389,11,16,36,5645
393,10,11,31,5647
397,7,11,31,5609
401,3,9,29,5608
405,1,8,29,5608
409,2,4,24,5608
413,5,8,29,5608
417,8,13,33,5607
421,10,16,36,5597
425,12,19,39,5599
429,12,20,41,5561
433,11,21,41,5563
437,9,26,47,5493
441,8,24,45,5493
445,4,20,41,5465
449,1,17,37,5467
453,1,22,42,5447
457,-2,17,37,5446
461,-3,15,35,5426
465,-2,20,40,5425
469,0,25,45,5445
473,1,29,49,5447
477,0,31,51,5379
481,4,30,50,5382
485,6,36,56,5314
489,3,35,55,5323
493,-6,29,49,5263
497,-12,24,44,5256
501,-13,17,37,5266
505,-18,19,39,5262
509,-31,5,26,5340
513,-33,1,22,5340
517,-33,4,25,5400
521,-40,-10,10,5398
525,-39,-6,14,5456
529,-30,-7,13,5451
533,-26,0,21,5529
537,-20,-1,19,5528
541,-13,10,31,5528
545,1,22,42,5529
549,5,26,47,5499
553,7,23,44,5503
557,11,29,49,5425
561,5,31,52,5426
565,2,23,44,5388
569,0,28,49,5389
573,-1,20,41,5389
577,-6,16,37,5389
581,-12,16,37,5389
585,-14,12,33,5386
589,-11,7,28,5434
593,-12,12,33,5433
597,-11,11,32,5473
601,-7,8,29,5472
605,-5,16,37,5472
609,1,21,42,5480
613,5,24,45,5470
617,5,25,46,5467
621,8,28,49,5399
625,11,31,52,5406
629,11,33,53,5376
633,7,29,50,5371
637,2,31,52,5313
641,1,29,50,5318
645,-3,24,45,5298
649,-11,16,36,5295
653,-12,18,39,5323
657,-12,15,36,5325
661,-12,13,34,5385
665,-12,16,37,5378
669,-11,14,35,5398
673,-2,20,41,5398
677,2,29,50,5398
681,5,30,51,5399
685,5,35,56,5319
689,3,31,52,5329
693,3,36,57,5261
697,3,39,60,5256
701,2,35,56,5246
705,0,37,58,5253
709,-8,26,47,5243
713,-14,22,43,5240
717,-15,22,43,5280
721,-11,27,48,5271
725,-14,19,40,5311
729,-14,14,35,5311
733,-11,20,41,5319
737,-8,24,45,5322
741,-10,24,45,5342
745,-14,21,42,5347
749,-11,25,46,5309
753,-11,20,41,5300
757,-17,16,37,5290
761,-16,17,38,5292
765,-13,20,41,5350
769,-14,20,41,5355
773,-14,8,29,5345
777,-11,19,40,5336
