システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
953,-56,-100,-100,7086
957,-46,-100,-100,7076
961,-46,-100,-100,7076
9システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,-37,68,31,7467
5,-37,52,14,7362
9,-32,41,3,7362
13,-31,30,-6,7243
17,-30,22,-15,7243
21,-30,18,-18,7289
25,-29,12,-25,7289
29,-29,6,-31,7298
33,-30,4,-32,7298
37,-30,0,-37,7279
41,-35,-3,-41,7279
45,-33,-7,-44,7249
49,-33,-11,-48,7249
53,-31,-14,-51,7174
57,-44,-25,-63,7174
61,-52,-40,-77,7052
65,-56,-45,-83,7052
69,-50,-52,-90,6722
73,-47,-56,-94,6722
77,-41,-65,-100,6505
81,-16,-49,-87,6505
85,8,-37,-75,6497
89,21,-26,-63,6497
93,33,-18,-56,6703
97,23,-27,-64,6703
101,9,-38,-75,6793
105,24,-29,-67,6793
109,13,-81,-43,6681
113,14,-81,-43,6681
117,9,-91,-53,6567
121,3,-95,-57,6567
125,6,-99,-61,6484
129,-8,-100,-76,6484
133,12,-100,-66,6426
137,77,-56,-18,6426
141,71,-61,-23,6638
145,80,-51,-13,6638
149,84,-39,-1,6913
153,135,-5,32,6913
157,122,-7,29,7073
161,89,16,-20,7073
165,94,17,-19,7168
169,77,13,-24,7168
173,66,6,-30,7178
177,65,6,-30,7178
181,62,5,-32,7198
185,68,13,-23,7198
189,56,10,-27,7199
193,48,3,-33,7199
197,46,9,-27,7209
201,48,12,-24,7209
205,44,7,-29,7217
209,45,14,-22,7217
213,28,4,-33,7217
217,8,-13,-50,7217
221,1,-14,-51,7209
225,3,-10,-47,7209
229,-1,-19,-57,7172
233,1,-15,-52,7172
237,11,-6,-43,7126
241,24,-3,-40,7126
245,36,9,-28,7182
249,50,19,-18,7182
253,51,25,-12,7210
257,51,21,-16,7210
261,49,25,-11,7228
265,55,34,-3,7228
269,60,37,0,7200
273,59,41,4,7200
277,53,42,4,7126
281,61,51,13,7126
285,63,60,23,7021
289,61,57,19,7021
293,51,59,22,6732
297,51,65,27,6732
301,52,72,35,6541
305,40,68,30,6541
309,37,74,37,6410
313,35,74,37,6410
317,31,77,40,6400
321,16,71,33,6400
325,12,76,38,6351
329,13,78,40,6351
333,7,42,79,6313
337,-24,17,55,6313
341,-41,11,48,6400
345,-42,4,42,6400
349,-42,8,46,6593
353,-43,6,44,6593
357,-27,17,54,6583
361,-21,21,58,6583
365,-19,27,64,6630
369,-1,39,77,6630
373,5,49,87,6555
377,10,53,90,6555
381,9,53,91,6481
385,-3,54,91,6481
389,-3,56,94,6481
393,-4,57,95,6481
397,-4,58,96,6489
401,-9,55,93,6489
405,-9,55,93,6528
409,-20,52,90,6528
413,-19,56,93,6537
417,-21,52,90,6537
421,-20,56,93,6527
425,-13,63,100,6527
429,-19,61,98,6527
433,-19,62,99,6527
437,-9,65,100,6556
441,-9,67,100,6556
445,-6,70,100,6592
449,-6,72,100,6592
453,-6,73,100,6621
457,-4,75,100,6621
461,-4,80,100,6648
465,0,83,100,6648
469,0,87,100,6668
473,-3,89,100,6668
