システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,kp100,-1
161,5,-12,-10,6210,,
165,-4,-23,-21,6210,,
169,-2,-20,-18,6200,,
173,-2,-24,-22,6200,,
177,-9,-27,-26,6210,,
181,-9,-27,-25,6210,,
185,-11,-28,-26,6190,,
189,-13,-34,-33,6191,,
193,-17,-37,-35,6181,,
197,-19,-38,-36,6183,,
201,-19,-44,-42,6125,,
205,-17,-41,-40,6127,,
209,-7,-33,-32,6057,,
213,5,-27,-26,6057,,
217,11,-20,-19,6057,,
221,22,-13,-13,6055,,
225,30,-2,-2,6115,,
229,27,-1,-1,6112,,
233,30,0,0,6180,,
237,30,-2,-2,6177,,
241,22,-4,-4,6265,,
245,21,-2,-2,6265,,
249,17,-8,-8,6255,,
253,17,-5,-5,6258,,
257,19,-1,-1,6170,,
261,13,-9,-9,6176,,
265,2,-16,-17,6000,,
269,8,-10,-11,6010,,
273,10,-7,-8,5766,,
277,7,-14,-15,5769,,
281,3,-16,-17,5661,,
285,2,-16,-17,5663,,
289,0,-23,-24,5585,,
293,-2,-23,-24,5585,,
297,-6,-26,-27,5537,,
301,-6,-31,-32,5538,,
305,-1,-26,-26,5488,,
309,2,-21,-23,5489,,
313,6,-22,-24,5441,,
317,8,-18,-19,5441,,
321,16,-8,-10,5401,,
325,22,-6,-8,5401,,
329,23,-1,-4,5421,,
333,24,-3,-5,5419,,
337,25,1,-1,5429,,
341,24,4,1,5429,,
345,22,0,-3,5439,,
349,20,0,-2,5437,,
353,19,-3,-6,5457,,
357,16,-2,-5,5457,,
361,14,-2,-5,5447,,
365,12,-2,-5,5447,,
369,10,-2,-6,5467,,
373,9,-8,-12,5467,,
377,10,-5,-9,5427,,
381,10,-4,-7,5428,,
385,7,-5,-9,5408,,
389,7,-10,-14,5408,,
393,8,-8,-11,5390,,
397,9,-5,-9,5390,,
401,9,-3,-8,5370,,
405,9,-2,-7,5370,,
409,9,-2,-6,5360,,
413,12,1,-2,5360,,
417,13,3,-1,5340,,
421,16,1,-3,5340,,
425,17,4,0,5350,,
429,17,6,1,5348,,
433,18,8,3,5368,,
437,17,9,3,5370,,
441,17,10,5,5340,,
445,16,10,5,5340,,
449,15,10,5,5310,,
453,14,10,4,5311,,
457,14,10,4,5303,,
461,16,13,7,5303,,
465,18,15,9,5293,,
469,20,18,12,5293,,
473,21,20,13,5273,,
477,21,21,14,5274,,
481,20,21,14,5234,,
485,21,23,16,5234,,
489,21,24,16,5234,,
493,22,26,18,5234,,
497,23,34,26,5216,,
501,25,36,27,5217,,
505,28,39,30,5167,,
509,31,43,34,5169,,
513,33,46,37,5101,,
517,35,50,40,5104,,
521,37,60,50,5016,,
525,37,60,51,5021,,
529,38,71,60,4875,,
533,39,71,61,4881,,
537,38,80,69,4705,,
541,40,81,70,4710,,
545,43,93,82,4612,,
549,46,100,91,4611,,
553,47,100,98,4581,,
557,52,100,100,4580,,
561,45,100,100,4570,,
565,26,100,88,4578,,
569,4,78,65,4578,,
573,-3,69,57,4572,,
577,-26,40,28,4690,,
581,-57,3,-8,4685,,
585,-61,-7,-18,4841,,
589,-46,1,-8,4827,,
593,-62,-18,-28,4993,,
597,-78,-39,-49,4991,,
601,-68,-42,-52,4991,,
605,-47,-23,-35,4999,,
609,-24,-2,-13,4843,,
613,18,35,24,4841,,
